TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
283.6,0.495569,257.335,0.790386
283.5,0.564569,257.34,0.790443
283.4,0.396546,257.352,0.790588
283.3,0.417436,257.351,0.79057
283.2,0.403751,257.357,0.79065
283.1,0.296672,257.349,0.79055
283,0.209303,257.324,0.790251
282.9,0.286502,257.303,0.790002
282.8,0.384783,257.277,0.789692
282.7,0.339241,257.265,0.789541
282.6,0.3724,257.278,0.789694
282.5,0.425337,257.296,0.789909
282.4,0.489588,257.28,0.789721
282.3,0.468308,257.28,0.78972
282.2,0.444609,257.317,0.790167
282.1,0.371164,257.302,0.789985
282,0.276846,257.273,0.789632
281.9,0.225706,257.279,0.789706
281.8,0.186533,257.225,0.789064
281.7,0.258852,257.211,0.788894
281.6,0.272707,257.17,0.788401
281.5,0.414685,257.141,0.788052
281.4,0.474912,257.128,0.787899
281.3,0.559329,257.134,0.78797
281.2,0.463066,257.126,0.787867
281.1,0.536591,257.102,0.787576
281,0.583348,257.106,0.787631
280.9,0.563385,257.081,0.787333
280.8,0.514717,257.086,0.787384
280.7,0.493932,257.09,0.787438
280.6,0.56047,257.064,0.787127
280.5,0.496455,257.049,0.786941
280.4,0.557175,257.055,0.787013
280.3,0.594682,257.061,0.787086
280.2,0.504883,257.062,0.787099
280.1,0.395212,257.033,0.78675
280,0.398547,257.003,0.786395
279.9,0.375582,257.015,0.786533
279.8,0.249819,257.003,0.78639
279.7,0.319373,257.014,0.786526
279.6,0.238149,257.021,0.786602
279.5,0.320576,256.984,0.786157
279.4,0.234239,256.951,0.785769
279.3,0.252551,256.982,0.786136
279.2,0.385388,256.988,0.786209
279.1,0.373617,256.955,0.785813
279,0.394522,256.953,0.785789
278.9,0.348867,256.921,0.7854
278.8,0.5458,256.897,0.785117
278.7,0.456125,256.915,0.78533
278.6,0.453451,256.92,0.78539
278.5,0.543111,256.895,0.785094
278.4,0.525015,256.899,0.785137
278.3,0.65532,256.928,0.785493
278.2,0.781438,256.911,0.785287
