TITLE,SL + BM Corrected Average Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
304.7,424.2323715,208.527,0.151754
304.6,-209.2170435,207.29,0.134023
304.5,447.2151423,207.82,0.141633
304.4,-220.0440514,207.392,0.135487
304.3,81.28183794,208.234,0.147557
304.2,95.13140975,207.516,0.137261
304.1,1054.213357,207.879,0.142477
304,-459.7804743,207.803,0.141389
303.9,-393.0428827,208.74,0.154798
303.8,856.6312635,208.305,0.148578
303.7,-628.4638669,207.21,0.132867
303.6,417.3051291,207.868,0.142315
303.5,-387.5792806,207.337,0.13469
303.4,-457.3635547,207.45,0.136317
303.3,-420.6605889,207.508,0.137147
303.2,-17.19535441,208.429,0.150345
303.1,1194.070107,207.176,0.132378
303,649.0931261,207.927,0.143159
302.9,296.4236694,208.591,0.152661
302.8,-77.1557747,208.26,0.147929
302.7,2.06213834,207.643,0.139081
302.6,97.84817391,207.998,0.144182
302.5,496.0758063,207.98,0.143922
302.4,-166.3477615,207.024,0.130196
302.3,-272.1535771,207.628,0.13887
302.2,109.1678261,208.208,0.147183
302.1,384.9043518,207.815,0.141551
302,329.1746574,207.069,0.130847
301.9,276.3348748,207.023,0.130179
301.8,796.274435,207.883,0.142526
301.7,323.856809,207.622,0.138789
301.6,407.4896126,207.454,0.136382
301.5,239.1193149,207.423,0.135927
301.4,-78.94159157,207.975,0.143841
301.3,92.47806851,207.474,0.136659
301.2,-126.4587615,206.794,0.126886
301.1,604.7439908,207.686,0.139699
301,255.2174229,207.802,0.141373
300.9,-440.4132569,207.931,0.143224
300.8,1098.042736,207.28,0.133876
300.7,827.7838076,206.806,0.127066
300.6,897.5384545,207.831,0.141779
300.5,185.1676957,207.887,0.142591
300.4,-190.0366706,207.585,0.138252
