TITLE,class,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,JASCO,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,21/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,16:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTROMETER/DATA SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE,1033,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAX,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
XUNITS,NANOMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNITS,CD [mdeg],,,,,,,,,,,,,,,,,,,,,,,,,,
Y2UNITS,HT [V],,,,,,,,,,,,,,,,,,,,,,,,,,
Y3UNITS,ABSORBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTX,260,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTX,190,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOINTS,701,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTY,0.17797,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXY,12.60967,,,,,,,,,,,,,,,,,,,,,,,,,,
MINY,-5.51119,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDATA,,,,,,,,,,pro. + buffer,,,,,,,,,buffer,,,,,,,,
258.2,0.0579124,252.595,0.732982,0.0579124,252.595,0.732982,0.401534,252.417,0.730809,0.583464,252.341,0.729889,0.371985,252.839,0.735957,0.514176,252.717,0.734473,0.731515,252.545,0.732377,0.233559,252.137,0.72739,0.481747,252.745,0.734817
258.1,0.756712,252.931,0.737083,0.756712,252.931,0.737083,0.154463,252.748,0.734855,-0.252823,252.668,0.733881,0.32637,252.973,0.737601,0.885128,252.852,0.736121,0.959146,252.406,0.730678,0.00728854,252.155,0.727613,0.113223,252.203,0.728197
258,0.238264,252.811,0.735624,0.238264,252.811,0.735624,0.026247,252.704,0.734316,0.927265,253.103,0.739183,0.161261,253.33,0.741949,0.366744,252.953,0.737351,1.24735,252.669,0.733882,1.33297,252.729,0.734622,0.930074,252.394,0.730531
257.9,-0.449322,252.949,0.737308,-0.449322,252.949,0.737308,0.359556,252.627,0.73338,0.759255,253.227,0.740684,0.44665,253.056,0.738611,0.0603038,252.977,0.737646,-0.0341316,252.034,0.726133,0.479823,252.454,0.731269,0.565146,252.683,0.734055
257.8,0.386391,252.874,0.736389,0.386391,252.874,0.736389,0.0520253,252.814,0.735653,-0.337824,252.77,0.73512,1.08946,252.668,0.733874,1.463,253.01,0.738051,0.0854456,252.228,0.728507,0.239375,252.928,0.737045,0.997777,252.641,0.733547
257.7,0.127772,252.748,0.734857,0.127772,252.748,0.734857,1.33065,253.065,0.738719,-0.220034,252.871,0.736351,0.503809,253.042,0.738435,0.520808,253.237,0.740809,-0.162753,252.51,0.731943,-0.197137,252.422,0.730869,1.09875,252.534,0.732235
257.6,0.654664,252.816,0.735677,0.654664,252.816,0.735677,-0.229961,252.697,0.734235,0.44373,252.673,0.733941,1.76472,252.989,0.737796,-0.161555,253.325,0.741883,0.350519,252.308,0.729477,0.938369,252.327,0.729713,0.679331,252.635,0.733475
257.5,0.594287,252.787,0.735328,0.594287,252.787,0.735328,0.0126267,253.024,0.738217,1.07646,252.797,0.735448,0.699945,253.202,0.740382,0.295245,253.445,0.743343,0.132224,252.662,0.733808,1.3765,252.871,0.736354,0.259098,252.667,0.733865
257.4,0.816887,253.012,0.738074,0.816887,253.012,0.738074,1.48358,252.912,0.736852,-0.504748,253.335,0.742007,0.161449,253.294,0.741502,0.446385,253.102,0.739163,0.965884,252.656,0.733736,0.639391,252.353,0.730033,0.63909,252.747,0.734841
257.3,0.303717,252.985,0.737744,0.303717,252.985,0.737744,1.15062,252.943,0.737225,0.301329,253.201,0.740374,0.657529,253.323,0.741854,-0.155115,253.086,0.73897,1.44301,252.502,0.731853,-0.247832,252.425,0.730911,1.02342,252.767,0.735089
