TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
294.6,0.0100506
294.5,0.6926283997
294.4,-0.02073
294.3,1.216480966
294.2,0.189382466
294.1,0.674831
294,0.949947
293.9,0.7592890663
293.8,-0.28687
293.7,-0.121957334
293.6,-1.319506667
293.5,1.741336333
293.4,-1.635667667
293.3,-0.8222126663
293.2,-1.084382667
293.1,0.545338
293,0.8090620003
292.9,-0.285814134
292.8,-0.5725483337
292.7,1.584818567
292.6,-0.7746673333
292.5,-1.2926673
292.4,0.147194333
292.3,0.8924821337
292.2,-0.703709667
292.1,-1.035357667
292,1.158597666
291.9,-0.0787629997
291.8,-0.625218667
291.7,1.820107
291.6,-0.169615
291.5,-0.9699376663
291.4,0.516072667
291.3,-0.340759333
291.2,-0.573109
291.1,-0.582149667
291,-0.277799
290.9,-0.15877
290.8,1.123633333
290.7,-1.0782718
290.6,0.718073223
290.5,0.3206383337
290.4,-0.6333973337
290.3,0.049319334
290.2,-0.06761288
290.1,0.930860667
290,-0.6822893333
289.9,-0.7119576663
289.8,-0.172376
289.7,1.527523334
289.6,1.057387667
289.5,-0.071477333
289.4,0.4208825333
289.3,-0.484548666
289.2,-0.357946333
289.1,-0.206245334
289,-1.047205
288.9,0.0948583333
288.8,0.8172386663
288.7,-0.9882523337
288.6,-1.594465
288.5,0.533640333
288.4,0.510157334
288.3,-0.6307240003
288.2,0.270427
288.1,-0.621450167
288,-0.768968667
287.9,0.6158229997
287.8,2.054968
287.7,-0.3178506667
287.6,0.8861850003
287.5,0.3767673337
287.4,0.167399667
287.3,1.068045666
287.2,0.217812
287.1,1.001566
287,-0.5931776667
286.9,0.192450633
286.8,1.758786667
286.7,0.296027
286.6,-0.3823359997
286.5,0.321252333
286.4,0.102466
286.3,-0.259201
286.2,-0.5265732667
286.1,-0.452003
286,0.645444334
285.9,-0.20126
285.8,1.555259667
285.7,-0.6721403333
285.6,-0.939454
285.5,-0.4760123333
285.4,0.123818766
285.3,0.865691
285.2,0.343905
285.1,0.161115667
285,-0.572704333
284.9,-0.2574698667
284.8,0.4940000003
284.7,1.511710933
284.6,1.712745
284.5,0.01296
284.4,0.7197190003
284.3,-0.829796667
284.2,0.431528
284.1,-0.269425333
284,-0.4046746663
283.9,-0.430225
283.8,1.017037367
283.7,-0.9894932997
283.6,0.4702226663
283.5,0.523590334
283.4,0.702446
283.3,-0.250122467
283.2,0.640133333
283.1,0.181527
283,0.7224523337
282.9,-1.339207
282.8,0.1927403333
282.7,-0.349247
282.6,-0.507412
282.5,0.8886625003
282.4,0.262773767
282.3,0.7041506667
282.2,1.527687667
282.1,-0.2185776667
282,0.1841813333
281.9,-1.000300333
281.8,-0.9536749003
