TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
304.5,335728.7202,207.894,0.142688
304.4,675577.381,207.197,0.132688
304.3,838654.7619,207.355,0.134951
304.2,262923.3631,208.135,0.146145
304.1,804309.5238,207.639,0.139033
304,396335.4167,206.78,0.126691
303.9,589788.6905,207.314,0.134365
303.8,420719.7917,207.487,0.136854
303.7,379586.3095,206.068,0.116417
303.6,41548.95833,207.128,0.131695
303.5,617722.9167,206.77,0.126544
303.4,397128.869,207.586,0.138269
303.3,-99581.62202,207.204,0.132786
303.2,434412.9464,207.509,0.137163
303.1,597448.9583,207.622,0.138789
303,651127.6786,206.736,0.126054
302.9,480793.4524,207.671,0.139488
302.8,-75135.11905,207.162,0.132183
302.7,350925.625,207.405,0.135666
302.6,965427.0833,206.972,0.129446
302.5,605290.1786,207.502,0.137066
302.4,539372.0238,207.522,0.137358
302.3,402917.9792,207.007,0.129951
302.2,626043.2143,207.441,0.136187
302.1,911397.3214,207.032,0.13031
302,365720.9821,206.885,0.128191
301.9,380417.5595,207.477,0.136708
301.8,234111.9048,207.849,0.142039
301.7,632994.7917,207.401,0.135618
301.6,503789.4345,206.715,0.125745
301.5,881702.5298,207.766,0.140853
301.4,782409.6726,206.67,0.125108
301.3,548383.9286,206.998,0.129821
301.2,734303.5714,207.27,0.13373
301.1,558926.4881,208.146,0.146291
301,799333.3333,207.04,0.130424
300.9,380529.0179,207.755,0.14069
300.8,434648.0655,207.409,0.135731
300.7,732208.631,206.948,0.129104
300.6,33359.375,207.825,0.141698
300.5,310245.6845,207.469,0.136594
300.4,564869.0476,207.099,0.131271
300.3,429128.125,207.464,0.136512
300.2,553695.9821,206.234,0.118821
300.1,262407.1131,206.982,0.129593
300,720908.9286,207.026,0.130228
299.9,188598.5119,207.831,0.141779
299.8,375115.3274,205.912,0.114175
299.7,713387.6488,207.388,0.135422
299.6,515095.2381,206.446,0.121876
299.5,-90094.49405,206.939,0.128973
299.4,377678.0506,206.452,0.121957
299.3,458223.5119,207.553,0.137797
299.2,581247.9167,207.793,0.141243
299.1,617986.6071,207.653,0.139228
299,639970.8333,206.802,0.127
298.9,457610.119,206.49,0.122513
298.8,666007.4405,206.185,0.118117
298.7,633656.25,207.274,0.133795
298.6,192032.7381,207.201,0.132737
298.5,477910.4167,206.236,0.118853
298.4,418866.2202,206.715,0.125745
298.3,647516.0714,206.695,0.125467
298.2,423191.369,206.946,0.129071
298.1,306658.1845,206.636,0.124619
298,328391.8155,207.941,0.143354
297.9,771254.4643,207.139,0.131857
297.8,596993.75,206.536,0.123166
297.7,515325,207.11,0.131434
297.6,472318.4077,206.939,0.128973
297.5,283330.6548,207.467,0.136561
297.4,287319.6429,206.564,0.123574
297.3,381877.7381,206.59,0.12395
297.2,569758.7798,207.427,0.135992
297.1,468052.381,207.115,0.131499
297,683121.4286,206.968,0.129397
296.9,352352.0833,206.885,0.128191
296.8,564620.6845,206.58,0.123803
296.7,356344.0476,206.768,0.126511
296.6,256965.7738,206.721,0.125842
296.5,690138.5417,206.592,0.123982
296.4,640596.7262,206.939,0.128973
296.3,656021.131,207.177,0.132395
296.2,391926.7857,206.417,0.121451
296.1,886873.5119,206.819,0.127245
296,658068.1548,206.725,0.125891
295.9,-13803.03571,206.504,0.122709
295.8,219710.5655,206.93,0.128843
295.7,128830.2083,207.746,0.140561
295.6,680709.8214,207.349,0.134869
295.5,173099.5982,206.84,0.127555
295.4,323916.5179,206.304,0.119834
295.3,438337.4256,206.979,0.129544
295.2,669717.2619,206.662,0.124994
295.1,630089.881,206.683,0.125288
295,729377.9762,206.175,0.11797
294.9,488265.7738,206.759,0.126381
294.8,829260.4167,206.384,0.120977
294.7,711733.631,206.328,0.120177
294.6,633181.3988,206.417,0.121451
294.5,396732.4405,206.852,0.127718
294.4,129033.1845,206.634,0.124586
294.3,213013.2143,206.574,0.123721
294.2,240392.872,206.285,0.119556
294.1,655784.8214,206.76,0.126397
294,867358.631,206.63,0.124521
293.9,857260.4167,207.416,0.135829
293.8,570558.631,207.037,0.130391
293.7,126322.4702,206.819,0.127245
293.6,893760.4167,206.953,0.129169
293.5,808971.7262,206.857,0.1278
293.4,303346.5774,207.569,0.138025
293.3,98072.12798,206.686,0.125337
293.2,322053.8095,206.75,0.12625
293.1,209200.2976,206.784,0.12674
293,621488.8393,207.278,0.133844
292.9,376383.3333,207.126,0.131662
