TITLE,ds + JL Protein and buffer,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,15:32:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.24368,,
MAXY,47.00092,,
MINY,-74.42773,,
XYDATA,,,
305,-0.892041667,208.224,0.147411
304.9,-1.406232103,208.717,0.154458
304.8,-1.1610321,208.36,0.149356
304.7,0.02582,207.829,0.141762
304.6,-0.707321,208.453,0.150685
304.5,-2.48945,208.258,0.147897
304.4,-2.260566667,208.714,0.154426
304.3,-0.706379667,208.282,0.148238
304.2,0.085461467,206.517,0.122905
304.1,-1.036455667,209.568,0.166593
304,-1.645799267,207.84,0.141909
303.9,0.747406,208.748,0.154912
303.8,-0.050003333,207.964,0.143695
303.7,-0.072788333,208.733,0.154685
303.6,0.238573467,208.643,0.153406
303.5,0.229439,208.75,0.154928
303.4,-1.085334,208.777,0.155316
303.3,0.286116567,208.589,0.152629
303.2,-0.061537,208.26,0.147929
303.1,-2.7371716,207.865,0.142266
303,-0.119903333,207.968,0.143744
302.9,-0.215654667,208.089,0.14548
302.8,-1.3483114,209.197,0.161315
302.7,0.9071491,207.883,0.142526
302.6,-0.576013333,208.379,0.149632
302.5,-0.386633333,207.683,0.139667
302.4,-1.524663067,208.193,0.146973
302.3,-1.933853667,208.921,0.157371
302.2,-0.898126,209.125,0.16028
302.1,0.348492667,208.321,0.148805
302,0.329471667,208.251,0.1478
301.9,-0.02427,208.174,0.146697
301.8,0.276459333,207.724,0.140252
301.7,-2.052721333,208.36,0.149356
301.6,-1.164175,207.341,0.134755
301.5,-0.618368333,207.022,0.130163
301.4,0.320134,207.306,0.134251
301.3,-0.718924333,207.664,0.13939
301.2,0.010977667,207.836,0.14186
301.1,-0.280560667,207.552,0.137781
301,-0.721844,206.957,0.129234
300.9,-0.420526,208.906,0.15716
300.8,0.387673933,208.304,0.148562
300.7,-1.312204,206.238,0.118869
300.6,-0.350399333,207.8,0.14134
300.5,-0.945659333,207.571,0.138057
300.4,-1.589101667,208.058,0.145042
300.3,0.290360667,208.651,0.153519
300.2,-0.839143667,207.519,0.137309
300.1,-0.067064787,208.947,0.157743
300,-0.85695,207.654,0.139244
299.9,0.045182333,208.031,0.144653
299.8,-0.258866667,207.815,0.141551
299.7,-1.967335367,207.704,0.139959
299.6,-0.945251333,207.521,0.137342
299.5,-0.015942667,208.122,0.145951
299.4,-1.670336667,209.901,0.171333
299.3,-0.325333667,208.949,0.157775
299.2,-1.309594,208.064,0.145123
299.1,1.3700597,207.954,0.143549
299,-0.380737,207.841,0.141925
298.9,-1.917913667,207.317,0.134413
298.8,-0.759678,208.859,0.156497
298.7,0.617440333,207.775,0.140983
298.6,-0.700456667,207.766,0.140853
298.5,-1.11583,207.762,0.140788
298.4,0.044764667,208.224,0.147411
298.3,0.149953,208.831,0.156093
298.2,0.569438667,207.798,0.141308
298.1,-0.505384667,207.483,0.136789
298,-0.888924,207.875,0.142412
297.9,-1.158151333,208.648,0.153471
297.8,-2.115809333,208.163,0.146535
297.7,-0.811628133,207.852,0.142087
297.6,-0.317034667,206.636,0.124619
297.5,-1.685041667,207.845,0.14199
297.4,0.264441167,207.614,0.138675
297.3,-0.273555833,208.123,0.145967
297.2,-1.465774667,208.207,0.147167
297.1,-0.718592,207.681,0.139634
297,-0.242809667,206.988,0.129674
296.9,-0.929066333,207.435,0.136106
296.8,-0.678921,208.256,0.147865
296.7,-1.55786627,207.959,0.143614
296.6,0.333324,207.661,0.139342
296.5,0.016409333,206.201,0.118346
296.4,0.273063333,208.279,0.148205
296.3,-0.633456667,207.571,0.138057
296.2,-0.561585667,208.257,0.147881
296.1,-0.437118333,207.859,0.142185
296,-0.861775667,207.223,0.133062
295.9,0.538380933,208.043,0.144815
295.8,-0.447979667,207.799,0.141324
295.7,-0.1193583,208.13,0.146064
295.6,-1.477502667,207.714,0.140105
295.5,-0.825778533,207.68,0.139618
295.4,0.040502,207.724,0.140252
295.3,-0.308601,207.42,0.135894
295.2,-1.574485333,207.918,0.143029
295.1,-2.719566333,208.144,0.146275
295,-0.315132667,208.563,0.152256
294.9,-0.537879,208.472,0.150961
294.8,-0.208857667,208.648,0.153471
294.7,-0.429822,207.59,0.138334
294.6,0.232647667,206.963,0.129315
294.5,-0.242236667,207.101,0.131304
294.4,-1.1785952,207.844,0.141974
294.3,-0.867364333,207.995,0.144133
294.2,-0.883902333,206.705,0.125614
294.1,-1.029044333,208.508,0.151479
294,0.897968,209.792,0.169786
293.9,1.146951667,207.301,0.134186
293.8,-0.541858333,206.181,0.118052
