TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
304.7,1.149453667,208.275,0.14814
304.6,0.4999166667,207.885,0.142558
304.5,1.392165333,207.45,0.136317
304.4,0.725485,207.585,0.138252
304.3,1.122420667,207.525,0.137391
304.2,1.362036333,207.381,0.135325
304.1,1.1867618,207.193,0.132623
304,0.5881878133,207.789,0.141178
303.9,-0.2185386667,207.324,0.134511
303.8,1.330553,206.721,0.125842
303.7,0.918155,206.824,0.127327
303.6,1.76952,207.136,0.131808
303.5,0.8940536667,207.4,0.135602
303.4,0.485102,207.11,0.131434
303.3,1.438005,207.49,0.136886
303.2,0.3916726667,207.326,0.134544
303.1,1.378976667,206.839,0.127539
303,0.7339006667,207.339,0.134723
302.9,0.7831046667,206.64,0.124667
302.8,0.4737153333,206.989,0.12969
302.7,1.49674,206.862,0.127865
302.6,0.5215023333,207.384,0.135374
302.5,0.9698636667,207.305,0.134234
302.4,0.09875706333,207.263,0.133632
302.3,0.1482251667,206.504,0.122709
302.2,1.002643,206.776,0.126625
302.1,0.5745038667,207.633,0.138952
302,1.652927333,207.333,0.134641
301.9,1.715074333,207.234,0.133209
301.8,0.3852733333,207.18,0.132444
301.7,0.1373533333,207.299,0.134153
301.6,0.6463128333,206.938,0.128957
301.5,0.9435446667,207.1,0.131287
301.4,0.56277585,206.621,0.12439
301.3,1.117170667,206.749,0.126234
301.2,1.141255667,206.78,0.126691
301.1,0.014085,206.929,0.128826
301,1.085821667,206.989,0.12969
300.9,0.2110531667,206.818,0.127229
300.8,1.134959,206.7,0.125532
300.7,1.042366,206.727,0.125924
300.6,0.861503,206.828,0.127376
300.5,0.2915146667,207.093,0.131189
300.4,0.8897633333,207.212,0.132899
300.3,0.5457327667,206.695,0.125467
300.2,1.333593967,206.398,0.12119
300.1,0.8217105667,206.729,0.125956
300,-0.2359166667,207.232,0.133193
299.9,0.5207003333,206.5,0.12266
299.8,0.954856,206.852,0.127718
299.7,1.416416667,206.724,0.125875
299.6,0.6940033333,206.376,0.120863
299.5,0.667224,207.264,0.133649
299.4,0.8203093333,206.938,0.128957
299.3,1.03843,206.317,0.120013
299.2,0.8014953333,206.974,0.129478
299.1,0.2374973,206.59,0.12395
299,0.423481,207.124,0.131629
298.9,1.2616829,206.729,0.125956
298.8,0.7512533667,206.87,0.127979
298.7,0.148927,205.966,0.114944
298.6,0.2216026667,206.368,0.120749
298.5,0.8566416667,207.144,0.131922
298.4,0.615174,206.039,0.116008
298.3,0.5326603333,206.93,0.128843
298.2,0.7524556333,207.354,0.134934
298.1,0.577211,206.839,0.127539
298,1.036559667,207.375,0.135243
297.9,0.670786,206.659,0.124945
297.8,0.459338,206.684,0.125304
297.7,0.2277576667,206.358,0.120602
297.6,0.1263553333,207.326,0.134544
297.5,1.027279667,206.7,0.125532
297.4,0.131999,206.682,0.125271
