TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
311.6,1.522186667,207.9036667,0.1428286667
311.5,1.236606667,207.826,0.1417066667
311.4,1.472342333,208.3093333,0.1486256667
311.3,1.015442667,208.0196667,0.1444886667
311.2,2.66092,207.5433333,0.137654
311.1,1.11687,207.856,0.1421373333
311,2.866426667,207.4576667,0.1364253333
310.9,1.677976667,207.6356667,0.1389716667
310.8,1.674276667,207.3896667,0.1354543333
310.7,1.2288,207.613,0.1386556667
310.6,0.864687,207.5596667,0.1378926667
310.5,1.666233667,207.6963333,0.1398496667
310.4,1.073365333,207.716,0.1401376667
310.3,0.8700373333,207.6773333,0.1395766667
310.2,1.502008333,208.2276667,0.1474643333
310.1,1.369796167,207.922,0.1430816667
310,0.866053,207.754,0.1406746667
309.9,1.082759,207.1966667,0.1326753333
309.8,2.199573333,208.3753333,0.1495663333
309.7,1.233787,207.7546667,0.1406816667
309.6,1.292313667,207.364,0.1350646667
309.5,2.31675,207.858,0.1421666667
309.4,1.811606667,207.7073333,0.1400116667
309.3,1.603683,207.7866667,0.1411403333
309.2,1.392853,207.9383333,0.1433256667
309.1,1.94,207.462,0.1364893333
309,1.817416667,207.8506667,0.1420606667
308.9,1.677883,207.3773333,0.135261
308.8,1.846,207.9483333,0.1434613333
308.7,1.244948333,207.4793333,0.136736
308.6,0.7372849333,207.66,0.1393356667
308.5,2.404563333,207.4383333,0.136148
308.4,1.76469,207.255,0.1335136667
308.3,1.573330767,207.796,0.1412846667
308.2,2.085723333,207.6573333,0.139293
308.1,2.016223333,207.5456667,0.1376833333
308,1.813523333,207.1866667,0.1325213333
307.9,2.510243333,207.4803333,0.1367543333
307.8,1.80376,207.8076667,0.1414463333
307.7,1.71215,207.7676667,0.1408683333
307.6,1.81617,207.594,0.138387
307.5,1.841946667,207.5226667,0.1373586667
307.4,0.941478,207.151,0.132017
307.3,1.036146667,207.2586667,0.1335703333
307.2,0.7851676667,207.536,0.1375506667
307.1,1.206495333,207.8693333,0.1423343333
307,2.60415,207.7196667,0.140186
306.9,1.642630667,207.5953333,0.1383986667
306.8,0.11097,208.0733333,0.145251
306.7,1.28062,207.229,0.133135
306.6,2.141121667,207.8423333,0.1419426667
306.5,2.073986667,207.8066667,0.1414356667
306.4,1.61876,207.4473333,0.136279
306.3,1.222642,208.375,0.1495546667
306.2,1.732346667,207.5373333,0.1375723333
306.1,1.131550667,207.4576667,0.13643
306,0.4335564,207.929,0.143188
305.9,0.021041,208.0016667,0.1442296667
305.8,1.309167667,207.8223333,0.141648
305.7,1.78233,208.2586667,0.147903
305.6,1.73628,206.8933333,0.1283116667
305.5,0.3931563333,207.5656667,0.1379723333
305.4,2.374823333,207.5223333,0.1373566667
305.3,1.542775333,207.579,0.1381586667
305.2,1.433856667,207.534,0.1375236667
305.1,1.045269333,207.556,0.1378406667
305,1.68469,207.567,0.13799
304.9,1.426178667,207.1116667,0.1314526667
304.8,0.8012733333,207.505,0.137107
304.7,0.9329593333,207.765,0.140827
304.6,1.486,207.575,0.1381006667
304.5,0.8340386667,207.096,0.1312136667
304.4,1.000796333,207.8573333,0.142143
304.3,1.94362,206.7723333,0.126571
304.2,2.836436667,207.3803333,0.1353166667
304.1,1.99415,207.6196667,0.138749
304,0.5699727,207.331,0.134596
303.9,2.585603333,207.3193333,0.1344333333
303.8,0.925026,207.321,0.1344476667
303.7,2.035013333,207.246,0.1333873333
303.6,0.8268456667,207.307,0.1342553333
303.5,0.750736,207.5713333,0.1380516667
303.4,1.805965333,207.393,0.1354956667
303.3,0.5051186667,207.2833333,0.1339146667
303.2,0.3855173333,207.5036667,0.137092
303.1,1.506528333,207.293,0.134065
303,1.856073333,207.2056667,0.1327903333
302.9,1.244700667,207.164,0.132204
302.8,0.9321476667,207.0023333,0.129882
302.7,1.727026667,207.113,0.131473
302.6,0.4339903333,207.5123333,0.1372023333
302.5,2.004923333,207.1716667,0.1323176667
302.4,1.058221,207.6856667,0.1396903333
302.3,1.949416667,208.3816667,0.1496476667
302.2,1.710055,207.088,0.1311166667
302.1,2.823663333,207.515,0.137247
302,1.176936667,207.116,0.131513
301.9,1.629775333,207.3423333,0.1347693333
301.8,1.003886233,207.1956667,0.1326623333
301.7,1.184737333,207.316,0.1343906667
301.6,1.815563333,207.4073333,0.135701
301.5,0.3663628333,207.807,0.141443
301.4,1.730946667,206.697,0.1254856667
301.3,0.6961376667,207.7326667,0.1403643333
301.2,1.855493333,207.176,0.132384
301.1,2.095543333,207.2796667,0.1338756667
301,1.073874667,207.154,0.1320623333
300.9,-0.06754696667,206.9993333,0.12984
300.8,1.522436667,207.275,0.1338043333
300.7,1.662016667,207.1343333,0.1317823333
300.6,1.423896667,206.5433333,0.1232666667
300.5,1.447102333,207.278,0.1338456667
300.4,1.038448,207.37,0.1351633333
300.3,1.141074,207.2973333,0.1341213333
300.2,1.916396667,207.271,0.133751
300.1,2.53806,207.2206667,0.1330136667
300,1.264877667,207.0246667,0.1301993333
299.9,1.396906667,206.9666667,0.1293696667
299.8,1.667123333,206.7153333,0.1257366667
299.7,0.4059033333,206.9263333,0.128779
299.6,1.992333333,206.9186667,0.128678
299.5,1.249636333,207.432,0.1360586667
299.4,2.280486667,207.4096667,0.13574
299.3,2.25443,207.0886667,0.1311296667
299.2,0.5617418667,207.2836667,0.1339253333
299.1,0.3963766667,207.17,0.1322753333
299,1.13529,206.755,0.126326
298.9,1.353597333,206.946,0.1290763333
298.8,0.8521273333,207.0626667,0.1307493333
298.7,1.613463333,207.3803333,0.135312
298.6,1.478628333,206.861,0.1278556667
298.5,0.6926756667,206.727,0.1259236667
298.4,1.455429,206.7973333,0.126931
298.3,1.386656667,206.8123333,0.1271456667
298.2,1.81517,206.7223333,0.1258556667
298.1,1.921826667,206.7576667,0.126368
298,1.517988333,207.0113333,0.130015
297.9,1.339865,207.0763333,0.1309456667
297.8,1.697979333,206.7693333,0.1265233333
297.7,1.83418,207.52,0.1373063333
297.6,2.053233333,206.704,0.1255906667
297.5,2.007926667,207.149,0.1319926667
297.4,1.186836333,207.02,0.1301386667
297.3,1.021741667,207.2343333,0.1332186667
297.2,1.6461116,207.3883333,0.135431
297.1,0.8900306667,207.482,0.136776
297,1.72074,207.544,0.1376666667
296.9,0.2169894,207.0113333,0.1300143333
296.8,1.556066667,207.1986667,0.1327093333
296.7,2.023133333,206.868,0.1279516667
296.6,0.3582663333,206.8036667,0.127027
296.5,1.769316667,207.1726667,0.132335
296.4,1.73769,207.3636667,0.135078
296.3,1.370419,207.1723333,0.132327
296.2,2.299873333,206.82,0.127257
296.1,1.851583333,206.741,0.1261163333
296,1.75766,207.0533333,0.1306176667
295.9,2.074246667,207.1573333,0.1321096667
295.8,1.62486,207.6693333,0.139455
295.7,0.670365,206.8573333,0.1277936667
295.6,1.089722,206.9666667,0.1293633333
295.5,1.751133333,207.2413333,0.1333203333
295.4,1.5541958,207.257,0.1335483333
295.3,1.468168333,206.9136667,0.1286076667
295.2,1.767963333,206.982,0.1295843333
295.1,1.846634333,206.761,0.1264086667
295,1.292933333,207.6446667,0.1391046667
294.9,1.081606333,206.889,0.128256
294.8,1.734122667,206.5486667,0.1233443333
294.7,0.5841636667,206.9963333,0.1297963333
294.6,0.7492386,206.6046667,0.1241536667
294.5,1.083325333,207.044,0.130481
294.4,1.407809333,206.825,0.127331
294.3,1.809433333,207.1576667,0.132103
294.2,1.423837333,207.2146667,0.1329336667
294.1,2.12213,206.86,0.127819
294,2.180583333,207.1413333,0.1318816667
293.9,1.165908733,206.993,0.129754
293.8,1.182802333,207.0666667,0.130797
293.7,1.146678333,205.9133333,0.1141856667
293.6,1.05401,206.7253333,0.1258913333
293.5,1.712113,206.865,0.1279063333
293.4,-0.110978,206.8443333,0.1276116667
293.3,0.9288606667,207.2496667,0.1334363333
293.2,0.622671,206.8146667,0.127184
293.1,1.121479,206.9393333,0.128969
293,1.517492667,206.329,0.1201856667
292.9,1.282384333,206.9843333,0.1296236667
292.8,0.7473873333,206.7953333,0.1268913333
292.7,2.675926667,206.6326667,0.1245623333
292.6,0.8798356667,206.4916667,0.1225186667
292.5,0.1736450333,206.5836667,0.1238506667
292.4,1.800183333,206.8033333,0.1270183333
292.3,1.611926667,206.05,0.1161583333
292.2,1.254696,206.769,0.1265246667
292.1,0.8575923333,206.151,0.1176203333
292,1.400804333,207.0683333,0.1308033333
291.9,0.9591743333,206.3223333,0.1200766667
291.8,0.774022,206.9163333,0.12864
291.7,1.527562667,206.3976667,0.121176
291.6,1.42261,206.699,0.1255203333
291.5,0.4305096667,206.349,0.1204673333
291.4,1.568409,205.8213333,0.1128463333
291.3,1.609344,206.184,0.118089
