TITLE,Protein_AMSS
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/27
TIME,14:37:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,0.0788
MAXY,35.46646
MINY,-73.42445
XYDATA,
294.1,12429.54586
294,846.1480701
293.9,384.7813579
293.8,4178.618342
293.7,15778.48508
293.6,7752.350348
293.5,8430.18117
293.4,12844.09785
293.3,14899.51084
293.2,3862.83369
293.1,6749.27264
293,2147.793766
292.9,15857.77316
292.8,6279.166757
292.7,1923.976902
292.6,19824.37071
292.5,16598.11484
292.4,5763.596377
292.3,6714.252629
292.2,9671.145718
292.1,5517.311882
292,6581.631638
291.9,15517.38878
291.8,740.9342409
291.7,12188.3798
291.6,9042.726042
291.5,6443.089541
291.4,4762.599424
291.3,-3562.036354
291.2,11962.14745
291.1,8661.146559
291,9170.491185
290.9,10981.87436
290.8,3220.916021
290.7,10757.76348
290.6,14407.13862
290.5,-3177.61664
290.4,3648.194538
290.3,20119.5439
290.2,3197.907846
290.1,7495.888247
290,1667.906073
289.9,17079.56083
289.8,13130.33759
289.7,-4707.51822
289.6,5374.897772
289.5,10195.94153
289.4,9617.61151
289.3,7145.921087
289.2,13510.6114
289.1,1934.18391
289,6354.806725
288.9,6981.333366
288.8,12814.3478
288.7,6902.499891
288.6,22018.79826
288.5,12586.13647
288.4,21627.93748
288.3,-3477.043392
288.2,2462.103119
288.1,-6703.618162
288,12670.77005
287.9,5423.438167
287.8,-2599.306294
287.7,3535.347504
287.6,5239.151124
287.5,12197.14159
287.4,7314.71329
287.3,15021.82531
287.2,666.0067055
287.1,11354.6959
287,9318.493931
286.9,13453.11697
286.8,11619.27521
286.7,499.458099
286.6,15693.65813
286.5,16891.4651
286.4,4198.7985
286.3,-1240.498187
286.2,4402.651425
286.1,24012.05074
286,9285.993443
285.9,9238.739949
285.8,5015.103567
285.7,8184.523163
285.6,6221.495918
285.5,5624.167698
285.4,11747.05528
285.3,2139.439083
285.2,23133.69846
285.1,8306.206621
285,12066.1083
284.9,337.6793973
284.8,10875.3578
284.7,927.1052717
284.6,9725.751967
284.5,2950.815927
284.4,4176.120532
284.3,6514.644897
284.2,1292.425011
284.1,17179.61122
284,10647.95842
283.9,9727.939021
283.8,12598.67981
283.7,5512.971246
283.6,12909.70745
283.5,-6376.699886
283.4,5470.293604
283.3,7031.613001
283.2,-2772.456775
283.1,5824.257713
283,18254.51117
282.9,12548.31196
282.8,8751.180602
282.7,9056.538185
282.6,8629.739824
282.5,-86.31062234
282.4,-1301.505245
282.3,21115.34349
282.2,12876.15753
282.1,22150.97144
282,4919.617268
281.9,-3501.462861
281.8,10707.61954
281.7,12623.20105
281.6,10922.71985
281.5,7921.556441
281.4,2871.835895
281.3,2461.966513
281.2,11059.43677
281.1,11628.3672
281,8072.978863
280.9,-1687.198291
280.8,-1944.262001
280.7,5640.155586
280.6,10353.84596
280.5,1428.332013
280.4,10862.69686
280.3,11637.27826
280.2,3111.054418
280.1,15525.28208
280,-16415.4155
279.9,-1462.562694
279.8,6796.745518
279.7,-241.4874503
279.6,12896.38496
279.5,10527.7722
279.4,8659.912355
279.3,4869.780924
279.2,7849.076733
279.1,6859.125196
279,-6357.923334
278.9,2432.006807
278.8,-3188.191625
278.7,5311.688053
278.6,7578.21151
278.5,10042.62381
278.4,7018.137851
278.3,2145.53954
278.2,9426.152648
278.1,-7117.36951
278,8776.724132
277.9,9639.843925
277.8,11693.27771
277.7,7659.801984
277.6,12370.55668
277.5,-1352.608362
277.4,-9024.824764
277.3,6097.383405
277.2,5160.530249
277.1,7880.70353
277,3692.944341
276.9,1860.931608
276.8,-303.9689045
276.7,6277.048684
276.6,16369.45795
276.5,8082.281195
276.4,13131.01383
276.3,6386.721436
276.2,10639.20341
276.1,13166.04063
276,18387.63154
275.9,11615.01871
275.8,18374.64989
275.7,4376.268808
275.6,9705.772195
275.5,9379.145678
275.4,12611.12249
275.3,9050.990258
275.2,16511.13475
275.1,9842.902997
275,12410.18828
274.9,-5652.370975
274.8,-2863.948929
274.7,413.8893111
274.6,7465.531841
274.5,-700.5314067
274.4,-488.3364635
274.3,2019.467725
274.2,16366.91129
274.1,7745.248641
274,11356.35372
273.9,12588.70349
273.8,5931.357249
273.7,-3348.995538
273.6,16083.62554
273.5,6580.453297
273.4,1351.608695
273.3,6740.703096
273.2,11421.26423
273.1,8024.354401
273,6747.43841
272.9,3150.674707
272.8,1591.46999
272.7,11668.78135
272.6,10328.88368
272.5,1525.157233
272.4,14604.48014
272.3,2114.689407
272.2,6734.585224
272.1,-4260.689653
272,4923.491543
271.9,14272.64721
271.8,6998.664698
271.7,4805.666529
271.6,7738.929479
271.5,12928.92955
271.4,-341.2551295
271.3,-4326.023098
271.2,1817.317853
271.1,-10485.26147
271,3264.534978
270.9,10934.28614
270.8,8448.21815
270.7,4182.273912
270.6,2479.463853
270.5,1054.243926
270.4,3104.965948
270.3,12207.33728
270.2,6260.632206
270.1,9848.4464
270,21209.58812
269.9,1891.275123
269.8,2708.256436
269.7,9157.977253
269.6,6641.984841
269.5,-6236.156873
269.4,19296.01725
269.3,-4136.950319
269.2,4622.304518
269.1,6979.248088
269,-3775.697324
