TITLE,Sample_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:51:47,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.96153,,
MAXY,23.78934,,
MINY,-56.33782,,
XYDATA,,,
304.6,3455.097497,204.778,0.0977548
304.5,2636.219631,205.321,0.105622
304.4,5741.264822,205.306,0.105408
304.3,3721.630303,205.436,0.107295
304.2,1672.757576,205.944,0.114634
304.1,1168.664032,205.739,0.11167
304,4611.687747,205.534,0.108704
303.9,3310.893281,205.498,0.10818
303.8,2028.096179,204.929,0.0999407
303.7,-69.22793149,205.236,0.104391
303.6,4365.566535,205.611,0.109819
303.5,4985.204216,205.363,0.106229
303.4,2621.671937,205.005,0.101042
303.3,1265.200264,205.168,0.103406
303.2,597.2226614,205.33,0.105753
303.1,7382.766798,205.31,0.105458
303,663.2779974,205.913,0.114192
302.9,515.6508564,206.37,0.120781
302.8,-1664.334651,205.065,0.101912
302.7,3782.833992,205.441,0.10736
302.6,3944.597101,204.932,0.0999901
302.5,3668.28722,205.08,0.102126
302.4,5105.256917,206.108,0.117006
302.3,5307.566535,206.038,0.115991
302.2,3407.057971,206.221,0.118624
302.1,1483.184453,204.323,0.0911391
302,6642.100132,204.461,0.0931483
301.9,5620.466403,204.771,0.0976562
301.8,2178.913043,205.363,0.106229
301.7,2824.632411,203.895,0.0849242
301.6,3468.5639,205.729,0.111523
301.5,2511.43083,205.002,0.101009
301.4,4279.557312,204.68,0.0963239
301.3,3160.886693,204.078,0.0875796
301.2,2085.488801,205.849,0.113259
301.1,5793.996047,205.148,0.103111
301,5018.501976,204.601,0.0951891
300.9,7314.295125,204.071,0.0874807
300.8,2167.025033,205.493,0.108114
300.7,8556.666667,206.088,0.116711
300.6,2569.505929,205.938,0.114552
300.5,6770.922266,205.287,0.10513
300.4,1989.968379,206.991,0.129723
300.3,5301.753623,206.208,0.118444
300.2,7645.301713,206.727,0.125924
300.1,6751.964427,203.936,0.0855181
300,5570.123847,206.759,0.126381
299.9,1494.799868,206.292,0.119654
299.8,5605.695652,206.222,0.118641
299.7,6464.58498,205.882,0.113733
299.6,4998.18946,204.854,0.0988561
299.5,3817.806324,205.308,0.105441
299.4,6436.076416,205.851,0.113291
299.3,1613.747036,204.723,0.096949
299.2,260.743083,205.838,0.113095
299.1,4401.355731,204.591,0.095041
299,3798.626219,205.981,0.115173
298.9,413.4745718,205.175,0.103505
298.8,5098.505665,203.869,0.0845445
298.7,7728.708827,205.104,0.102487
298.6,5731.951252,204.051,0.0871838
298.5,6101.897233,206.472,0.122252
298.4,1502.865613,204.263,0.0902662
298.3,2963.616601,204.305,0.0908757
298.2,1346.62108,206.431,0.121664
298.1,4714.3083,204.656,0.0959786
298,2621.73913,205.321,0.105622
297.9,2895.700922,204.324,0.0911559
297.8,4594.061924,205.27,0.104883
297.7,3056.299078,204.933,0.100006
297.6,5578.247694,205.649,0.110376
297.5,5126.789196,204.803,0.0981164
297.4,5495.006588,205.894,0.113913
297.3,5979.275362,205.022,0.101288
297.2,5510.827404,204.55,0.0944487
297.1,1346.372859,206.131,0.117333
297,5891.41502,204.456,0.0930824
296.9,5013.384717,205.126,0.102799
296.8,2938.511989,205.058,0.101813
296.7,3974.214756,205.12,0.102717
296.6,1549.893939,204.765,0.0975573
296.5,6734.347826,204.71,0.0967682
296.4,5466.152833,206.306,0.11985
296.3,4701.056653,205.804,0.112604
296.2,4818.171278,204.109,0.0880249
296.1,6445.218709,204.312,0.0909912
296,6764.527009,204.959,0.100384
295.9,1419.820817,205.29,0.105179
295.8,7581.4361,205.902,0.114028
295.7,4910.778656,205.96,0.114862
295.6,5272.822134,206.37,0.120781
295.5,3260.264822,205.802,0.112587
295.4,4193.474308,206.272,0.11936
295.3,3271.332016,204.181,0.0890796
295.2,3208.345191,205.499,0.108196
295.1,1527.055336,204.71,0.0967682
295,1811.696838,205.818,0.112816
294.9,5403.776021,205.312,0.10549
294.8,4438.976285,203.966,0.0859469
294.7,1751.611331,205.497,0.108164
294.6,3447.527009,204.725,0.0969818
294.5,2738.129117,204.721,0.0969327
294.4,2880.40975,204.767,0.0975904
294.3,3962.720685,205.031,0.101419
294.2,209.5665349,205.1,0.102421
294.1,2986.233597,204.331,0.0912546
294,-1018.529644,205.519,0.108492
293.9,4720.541502,204.411,0.0924238
293.8,2453.096179,204.869,0.0990699
293.7,3248.198946,204.757,0.0974424
293.6,5614.55336,203.791,0.083406
293.5,5685.575758,204.728,0.0970313
293.4,3097.922266,204.99,0.100828
293.3,1371.696443,205.029,0.101386
293.2,5826.798419,205.447,0.107442
293.1,2627.191041,203.536,0.0796901
293,1591.83531,204.759,0.0974751
292.9,7562.160738,205.739,0.11167
292.8,4810.305665,205.187,0.103685
292.7,3762.028986,205.516,0.108442
292.6,4521.081686,205.251,0.104604
292.5,6187.69697,204.647,0.0958472
292.4,4578.823452,204.38,0.0919793
292.3,4877.825955,205.817,0.1128
292.2,5348.740448,205.092,0.102306
292.1,2956.128986,205.295,0.105244
292,4272.26087,204.929,0.0999407
291.9,3022.080764,204.691,0.0964884
291.8,-73.93939394,204.622,0.0954851
291.7,3801.285903,205.085,0.102208
291.6,3436.982872,205.26,0.104736
291.5,3387.453228,205.172,0.103472
291.4,4495.393939,205.266,0.104834
291.3,5477.997365,205.328,0.10572
291.2,1795.375494,204.94,0.100105
291.1,6396.984717,204.331,0.0912546
291,3598.013175,204.978,0.100647
290.9,4013.86996,204.546,0.0943828
290.8,4219.077734,205.006,0.101058
290.7,4472.158103,204.071,0.0874807
290.6,4373.847167,204.295,0.0907441
290.5,5981.808959,204.332,0.091271
290.4,4137.515152,204.531,0.0941687
290.3,2970.682477,205.148,0.103111
