TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:11:26,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.2816,,
MAXY,45.72734,,
MINY,-70.38342,,
XYDATA,,,
304.5,0.897048,206.877,0.128077
304.4,0.991748,206.327,0.12016
304.3,1.004287333,208.006,0.144296
304.2,0.2680603333,207.453,0.136366
304.1,1.327087667,207.212,0.132899
304,1.307368467,207.067,0.130815
303.9,0.6525826667,207.122,0.131613
303.8,1.224930333,208.302,0.148529
303.7,-0.012542,207.67,0.139472
303.6,0.1384783333,207.645,0.139114
303.5,1.937553333,207.015,0.130065
303.4,1.819806667,206.767,0.126495
303.3,0.82235765,207.773,0.14095
303.2,0.5709659667,207.39,0.135455
303.1,1.255955333,207.691,0.13978
303,1.204912,207.704,0.139959
302.9,0.6809843333,207.637,0.139
302.8,1.136066667,207.264,0.133649
302.7,0.306701,207.366,0.135113
302.6,1.266043667,207.504,0.137098
302.5,1.658177667,208.296,0.148448
302.4,0.6579356667,207.817,0.141584
302.3,1.333372667,207.908,0.142883
302.2,0.7138443333,207.641,0.139065
302.1,0.7964971333,207.503,0.137082
302,1.040128,207.088,0.131124
301.9,1.6261,207.93,0.143208
301.8,1.252557333,208.62,0.153082
301.7,1.936928333,207.064,0.130766
301.6,1.047539333,207.782,0.14108
301.5,0.5916332667,208.188,0.146892
301.4,1.552416667,206.796,0.126919
301.3,1.254042667,207.592,0.13835
301.2,0.7610973333,206.89,0.128272
301.1,1.410505667,207.161,0.132167
301,1.423557,206.755,0.126332
300.9,1.288278333,206.733,0.126006
300.8,0.3427118333,207.5,0.137033
300.7,2.06561,207.405,0.135666
300.6,1.114080667,207.916,0.142997
300.5,0.6634313333,207.134,0.131776
300.4,0.8764293333,207.655,0.13926
300.3,1.85499,207.718,0.140171
300.2,1.677667333,207.874,0.142396
300.1,1.258717667,207.626,0.138838
300,1.024934367,207.619,0.13874
299.9,0.6630796667,206.496,0.122594
299.8,1.477826667,207.245,0.133372
299.7,0.9844916667,205.842,0.11316
299.6,0.9071803333,207.913,0.142964
299.5,1.99778,206.368,0.120749
299.4,1.098647333,207.706,0.139992
299.3,0.4451256667,207.109,0.131417
299.2,1.783573667,206.937,0.128941
299.1,0.7859580667,207.384,0.135374
299,0.8162843333,207.581,0.138204
298.9,0.8183613,207.386,0.135406
298.8,0.657878,207.464,0.136512
298.7,0.9925206667,207.341,0.134755
298.6,0.3920273333,206.554,0.123427
298.5,0.502688,206.707,0.12563
298.4,1.511693,206.496,0.122594
298.3,0.3791486667,206.222,0.118641
298.2,0.1301173333,206.538,0.123198
298.1,1.094114667,206.962,0.129299
298,0.3898296667,207.422,0.13591
297.9,0.9771873333,207.12,0.13158
297.8,1.321943667,206.292,0.119654
297.7,1.085448,206.924,0.128762
297.6,1.278589,207.034,0.130342
297.5,1.300954667,206.43,0.121647
297.4,0.9316526667,207.001,0.12987
297.3,1.48212,207.941,0.143354
297.2,1.581045333,207.398,0.135569
297.1,1.338821667,207.081,0.13101
297,0.6313126667,206.921,0.128713
296.9,2.037283333,207.203,0.132769
296.8,1.680083333,207.436,0.136122
296.7,0.54594,206.194,0.118248
296.6,0.8106986667,206.815,0.127196
296.5,2.128273333,205.847,0.113226
296.4,0.6800536667,206.514,0.122856
296.3,0.6451633333,207.622,0.138789
296.2,1.180835333,207.902,0.142802
296.1,0.6126093333,206.587,0.1239
296,0.9029006667,208.89,0.156934
295.9,1.179738,205.979,0.115141
295.8,0.3222498,207.02,0.130147
295.7,0.4594346667,206.857,0.1278
295.6,0.4412743333,207.211,0.132883
295.5,1.491755333,206.524,0.123003
295.4,1.97788,208.437,0.150458
295.3,0.5968343333,207.794,0.141259
295.2,0.223016,206.692,0.125418
295.1,1.167303667,208.789,0.155494
295,1.51599,206.812,0.127147
294.9,1.310323333,206.267,0.119295
294.8,0.8602663333,206.819,0.127245
294.7,0.0952607,206.936,0.128925
294.6,0.7976581,207.001,0.12987
294.5,0.7445466667,207.43,0.136024
294.4,0.1359323333,206.993,0.129756
294.3,1.234356667,206.891,0.128289
294.2,0.542608,207.366,0.135113
294.1,1.738237333,206.648,0.124782
294,0.9601142333,207.524,0.137374
293.9,0.6821023333,206.8,0.126968
293.8,1.306412367,207.323,0.134495
293.7,0.1089706667,206.9,0.128419
293.6,0.3876483333,207.134,0.131776
293.5,0.57932,206.699,0.125516
293.4,0.871394,206.319,0.120046
293.3,0.1135973333,207.04,0.130424
293.2,0.2891933333,206.336,0.120291
293.1,0.972457,207.098,0.131255
293,0.6915833333,206.266,0.119278
292.9,1.15229,207.103,0.131336
292.8,0.4718176667,206.488,0.12248
292.7,0.984775,206.63,0.124521
292.6,0.7004546667,206.031,0.115893
292.5,1.351306333,207.366,0.135113
292.4,1.528724,207.712,0.140073
292.3,0.9773836667,206.777,0.126642
292.2,1.343216,206.743,0.126152
292.1,1.85157,206.262,0.119229
292,0.8031786267,206.31,0.119915
291.9,0.8261493333,206.942,0.129022
291.8,0.5747633333,206.617,0.124341
291.7,0.7076706667,206.525,0.123019
291.6,0.7946393333,206.701,0.125549
291.5,0.640102,206.464,0.122137
291.4,2.109826667,206.733,0.126006
291.3,0.715931,206.343,0.120389
291.2,0.732545,206.724,0.125875
291.1,0.871608,207.788,0.141162
291,1.507393333,206.779,0.126674
290.9,0.450672,206.138,0.117431
290.8,0.07700833333,206.562,0.123541
290.7,0.7445962,207.142,0.13189
290.6,0.2025973333,207.529,0.137456
290.5,0.2569716667,207.278,0.133844
290.4,-0.294051,207.036,0.130375
290.3,1.001056,207.346,0.13482
290.2,1.467180667,208.131,0.146081
290.1,1.680625,206.674,0.125157
290,0.7404613333,207.577,0.138139
289.9,1.815976667,206.71,0.125679
