TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
308.3,1.001051667,208.726,0.1545906667
308.2,2.146496667,209.239,0.161886
308.1,0.5352928,208.0143333,0.1443943333
308,0.75295,208.6076667,0.1528736667
307.9,1.350034333,207.4833333,0.13678
307.8,1.052411667,208.9083333,0.1571826667
307.7,2.083598,208.833,0.156112
307.6,1.176437667,209.0636667,0.1594093333
307.5,0.1944186667,208.005,0.1442513333
307.4,1.760436667,208.395,0.1498516667
307.3,0.806821,208.2546667,0.1478503333
307.2,1.022258333,208.7056667,0.1542926667
307.1,1.421622,208.1866667,0.1468733333
307,2.05331,208.0403333,0.1447816667
306.9,1.081421333,209.042,0.1590833333
306.8,1.619842667,208.4186667,0.1501946667
306.7,1.67872,208.9706667,0.1580743333
306.6,0.9490323333,208.4906667,0.1511853333
306.5,1.219087333,208.1943333,0.1469763333
306.4,1.55042,208.9766667,0.1581526667
306.3,1.505183667,208.3463333,0.1491593333
306.2,-0.1969803333,208.9813333,0.1582346667
306.1,-0.338483,208.3913333,0.1498093333
306,2.028893333,208.878,0.156737
305.9,1.70794,208.8906667,0.156943
305.8,1.219227,208.29,0.1483563333
305.7,1.119598333,208.1656667,0.1465713333
305.6,1.431317,209.1603333,0.1607736667
305.5,0.7104253333,209.0806667,0.1596296667
305.4,1.05109,208.414,0.1501316667
305.3,0.8206946667,208.4336667,0.150415
305.2,1.2288636,208.2506667,0.1477923333
305.1,1.486379,208.022,0.14451
