TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
307.9,-527116.8008,-68.709136,-2.778914
307.8,-358157.9496,-69.75439267,-2.794624667
307.7,-414345.6564,-69.82991,-2.794745333
307.6,91287.98987,-69.89625467,-2.797682
307.5,217434.8085,-68.50587567,-2.776384333
307.4,-665937.2821,-69.17829567,-2.789930333
307.3,47219.04336,-69.20705,-2.786248667
307.2,-209117.3894,-69.705992,-2.795257667
307.1,-282832.3648,-69.508865,-2.790085333
307,-524154.9695,-68.49121067,-2.779033
306.9,152880.5975,-70.54615133,-2.803397667
306.8,-624776.99,-69.36230067,-2.791547667
306.7,-50587.84086,-70.16287633,-2.801490667
306.6,-539751.0058,-70.08417267,-2.798080667
306.5,-591832.6628,-69.290987,-2.787634667
306.4,-446048.2789,-70.068791,-2.798972
306.3,-456500.2563,-68.874703,-2.784699667
306.2,384622.858,-70.17417667,-2.795544667
306.1,-44377.88705,-68.733384,-2.784925333
306,-1016135.405,-69.98454733,-2.795159667
305.9,-848502.1308,-69.89157283,-2.79807
305.8,-212260.4679,-68.91702733,-2.783402
305.7,-518084.7862,-68.48208,-2.763355333
305.6,-109024.1395,-70.27551267,-2.801231
305.5,1779.764566,-69.59241733,-2.79517
305.4,-368929.8167,-69.08918467,-2.784626667
305.3,-3768.141857,-69.233821,-2.787593333
305.2,-676427.0302,-69.439988,-2.791200333
305.1,-301972.627,-68.97039333,-2.780741333
305,211373.5658,-68.96859583,-2.784913
304.9,-77041.0371,-70.01456667,-2.791393
304.8,317908.8064,-69.9268,-2.79209
304.7,-421473.9979,-69.16331267,-2.789425333
304.6,-876207.4207,-68.98810167,-2.786259667
304.5,-114900.7748,-68.91857967,-2.780527333
304.4,-241428.2968,-69.27429167,-2.788379667
304.3,-1029078.23,-69.10073133,-2.78559
304.2,-113187.6024,-69.80774833,-2.792669
304.1,-324265.4001,-68.76526267,-2.786096
304,92561.01922,-69.218475,-2.787890667
303.9,-588910.8926,-68.73669967,-2.777085667
303.8,-1012154.522,-69.75292233,-2.793041667
303.7,-583996.0378,-69.25824333,-2.786566333
303.6,62097.95858,-69.09923133,-2.783553667
303.5,215905.2302,-69.732318,-2.797897
303.4,-251531.6644,-69.308001,-2.791465
303.3,148017.136,-68.55433567,-2.780744667
303.2,-211438.1165,-69.25838667,-2.784523333
303.1,-358978.0063,-69.29041467,-2.790709
303,-553543.5852,-68.95759167,-2.781828667
302.9,-301662.8669,-68.99953967,-2.78328
302.8,248668.5591,-69.484659,-2.788069667
302.7,441327.373,-69.3739,-2.778203
302.6,-289714.588,-69.58989667,-2.787752667
302.5,-197043.1977,-68.59057467,-2.782283
302.4,-362912.0846,-69.47409067,-2.789805333
302.3,-20042.37819,-69.38105533,-2.789051
302.2,-577947.2508,-69.45789567,-2.791226667
302.1,-165188.0793,-69.19255511,-2.788365667
302,-288200.9388,-70.33999767,-2.800626667
301.9,-301250.0373,-69.347556,-2.787905333
301.8,291771.6585,-68.99414933,-2.786496
301.7,-351361.198,-68.96241667,-2.779366333
301.6,-304274.1171,-68.715695,-2.781902
301.5,100085.9782,-69.39658833,-2.793306667
301.4,-307155.0887,-69.65906767,-2.792414
301.3,287337.9526,-68.80333033,-2.783988333
301.2,100292.0578,-69.46279,-2.784792
301.1,-139936.0006,-70.07878333,-2.791949333
301,-503254.9546,-69.570495,-2.791456333
300.9,-75784.38385,-69.472993,-2.793333667
300.8,-221084.6074,-68.55054667,-2.780030667
300.7,-524125.3613,-69.29199633,-2.792329333
300.6,-16918.93906,-69.87410267,-2.793580667
300.5,-496734.3168,-69.34877667,-2.783702667
300.4,-317024.2885,-68.56450767,-2.781883333
300.3,-352050.6631,-68.75959,-2.782949667
300.2,-416732.8267,-69.31511067,-2.792857667
300.1,216764.5656,-69.98283,-2.794765
300,-869644.8219,-69.947274,-2.798282333
299.9,-41534.94263,-69.07542,-2.783847
299.8,-603480.2563,-68.53931833,-2.782155667
299.7,-400537.2374,-69.12184067,-2.784410667
299.6,-906043.6597,-68.09808187,-2.772273667
299.5,-292906.1243,-69.16613533,-2.789487
299.4,-412113.6939,-69.96812667,-2.793713667
299.3,-534104.4703,-68.49153433,-2.779750333
299.2,342057.4132,-68.52422233,-2.781536667
299.1,-32628.59484,-68.39325333,-2.772089667
299,-558757.7112,-69.03871933,-2.786641667
298.9,301208.0018,-69.679238,-2.792281333
298.8,-145433.7655,-69.473698,-2.791594333
