TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:41:05,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,2.2638,,
MAXY,13.31895,,
MINY,-4.41763,,
XYDATA,,,
273.6,0.119743,251.764,0.722835
273.5,1.84078,252.008,0.725816
273.4,0.534891,252.002,0.725738
273.3,1.00284,251.934,0.724906
273.2,0.767518,252.004,0.725771
273.1,0.792858,251.841,0.723767
273,2.24925,251.744,0.722589
272.9,0.570483,251.839,0.72375
272.8,1.07999,251.967,0.725319
272.7,1.14094,251.853,0.723918
272.6,1.10888,251.654,0.72149
272.5,0.286658,252.18,0.727916
272.4,1.46761,251.697,0.722013
272.3,1.45527,251.919,0.724727
272.2,1.06391,251.621,0.721076
272.1,0.936275,251.638,0.721292
272,1.2739,251.743,0.722573
271.9,0.916373,251.809,0.723379
271.8,0.463721,251.707,0.722137
271.7,1.08111,251.556,0.720288
271.6,1.35218,251.567,0.72042
271.5,1.4666,251.407,0.718465
271.4,1.43704,251.519,0.719836
271.3,0.947852,251.534,0.720018
271.2,0.730558,251.74,0.72254
271.1,1.46435,251.912,0.724637
271,1.71375,251.764,0.722826
270.9,1.01186,251.697,0.72201
270.8,1.9687,251.677,0.721766
270.7,0.205336,251.575,0.720514
270.6,0.465414,251.649,0.721424
270.5,0.410068,251.782,0.723057
270.4,1.36201,252.059,0.72644
270.3,0.0198197,251.535,0.720028
270.2,1.23195,251.472,0.719258
270.1,1.58689,251.786,0.723099
270,1.84147,251.589,0.720692
269.9,-0.410821,252.075,0.726629
269.8,1.04293,251.852,0.723911
269.7,0.536641,251.846,0.72383
269.6,0.561595,251.858,0.723979
269.5,0.407955,251.709,0.722159
269.4,0.875309,251.637,0.721277
269.3,-0.245065,251.738,0.722507
269.2,1.32402,251.997,0.725685
269.1,1.05117,251.601,0.720836
269,0.189737,252.173,0.727828
268.9,1.10496,251.678,0.721785
268.8,0.97448,251.929,0.724845
268.7,0.981232,251.521,0.71986
268.6,0.252773,251.852,0.723909
268.5,1.16762,251.722,0.72232
268.4,1.09889,251.502,0.719629
268.3,1.6672,251.453,0.719018
268.2,0.2181,251.762,0.722802
268.1,0.152849,251.769,0.722896
268,1.05439,251.865,0.72407
267.9,-0.0911044,251.812,0.723421
267.8,0.802863,252.268,0.728988
267.7,0.840328,251.988,0.725569
267.6,1.12709,252.194,0.728095
267.5,-0.0342965,252.267,0.728982
267.4,0.847629,251.365,0.71795
267.3,1.51923,251.727,0.722379
267.2,-0.0497107,251.964,0.725283
267.1,1.58772,251.705,0.722104
267,0.891652,251.844,0.723807
266.9,0.684114,251.762,0.722809
266.8,0.166446,251.75,0.722665
266.7,0.796798,251.541,0.720097
266.6,0.67821,251.718,0.722268
266.5,1.47218,252.142,0.727449
266.4,0.683625,251.926,0.724819
266.3,0.639005,252.21,0.72829
266.2,1.73987,251.982,0.725498
266.1,1.58034,252.143,0.727461
266,1.12723,251.912,0.724644
265.9,1.61187,251.902,0.724514
265.8,0.550459,252.034,0.726135
265.7,-0.491696,251.803,0.723308
265.6,0.341418,252.11,0.727067
265.5,0.638218,251.839,0.723746
265.4,0.696879,252.113,0.727098
265.3,0.684211,252.15,0.727551
265.2,1.70651,252.192,0.72807
265.1,0.841092,252.54,0.732318
265,0.947896,251.66,0.721561
264.9,0.858221,252.293,0.729303
264.8,0.67106,252.244,0.728706
264.7,0.546218,252.037,0.726173
264.6,0.557662,252.162,0.727702
264.5,1.35793,251.646,0.721384
264.4,0.87335,252.8,0.735491
264.3,0.212483,252.142,0.72746
264.2,1.63933,252.365,0.730183
264.1,0.67893,252.284,0.729192
264,1.30325,252.258,0.728872
263.9,0.350827,252.148,0.72753
263.8,1.49439,251.754,0.722705
263.7,1.06253,252.528,0.732168
263.6,0.792227,252.151,0.727563
263.5,1.34885,252.074,0.726623
263.4,-0.768631,252.675,0.733967
263.3,0.530479,252.265,0.728958
263.2,0.588876,252.483,0.731617
263.1,0.526448,252.678,0.733995
263,0.930055,252.409,0.730721
262.9,1.84897,252.425,0.730906
262.8,1.48567,252.608,0.733143
262.7,-0.901513,252.505,0.731892
262.6,0.51958,252.358,0.730093
262.5,0.671016,252.488,0.731677
262.4,1.1337,252.685,0.734085
262.3,0.387298,252.399,0.730588
262.2,0.978623,252.466,0.731409
262.1,0.0785701,252.63,0.733407
262,0.271285,252.73,0.734627
261.9,0.037113,252.748,0.73485
261.8,0.923183,252.705,0.734325
261.7,1.07729,253.021,0.738179
261.6,1.21315,252.743,0.734786
261.5,1.253,252.915,0.736891
261.4,1.2193,252.987,0.737768
261.3,1.51254,252.831,0.735867
261.2,0.54227,252.806,0.735557
261.1,0.997418,252.751,0.734883
261,0.63678,253.099,0.739125
260.9,0.557454,252.745,0.734814
260.8,0.317442,252.648,0.733634
260.7,0.491287,252.815,0.735667
260.6,-0.438715,252.628,0.73339
260.5,1.27065,252.777,0.735209
260.4,0.284957,252.934,0.737118
260.3,0.786413,253.096,0.739096
260.2,1.38418,253.107,0.739225
260.1,2.34215,252.81,0.735607
260,0.412876,253.259,0.741078
259.9,2.34084,253.071,0.738788
259.8,1.25946,253.281,0.741343
259.7,0.512701,253.625,0.745528
259.6,0.472685,253.326,0.741898
259.5,1.05937,252.874,0.736384
259.4,1.6004,253.191,0.740257
259.3,1.00289,252.679,0.734009
259.2,0.641343,253.071,0.73879
259.1,0.980874,253.415,0.742985
259,1.44113,253.436,0.743234
258.9,1.3322,253.246,0.740919
258.8,0.947642,253.192,0.740267
258.7,0.488119,253.147,0.739712
258.6,1.38309,253.208,0.74046
258.5,1.11606,253.087,0.73898
258.4,1.77605,253.534,0.744431
258.3,0.677798,253.111,0.73928
258.2,0.975641,253.187,0.7402
258.1,-0.700378,253.527,0.744336
258,0.586018,253.765,0.747235
257.9,0.741074,253.634,0.74564
257.8,1.25528,253.502,0.744043
257.7,0.453946,253.393,0.742714
257.6,0.031766,254,0.75009
257.5,-0.0395449,253.616,0.745424
257.4,2.07163,253.406,0.742864
257.3,0.416997,253.495,0.743957
257.2,0.774184,253.892,0.748779
257.1,0.354883,253.463,0.743557
257,0.699329,253.593,0.745146
256.9,1.16342,253.66,0.745964
256.8,0.62138,253.764,0.747222
256.7,0.725412,253.778,0.747393
256.6,0.638073,253.931,0.749252
256.5,0.608446,254.084,0.751108
256.4,2.14687,253.828,0.747996
256.3,1.16292,254.053,0.750732
256.2,0.0769777,254.034,0.750504
256.1,-0.0805645,254.087,0.751149
256,2.15097,254.196,0.752477
255.9,0.314536,253.861,0.748409
255.8,1.28884,253.874,0.74856
255.7,0.661575,254.09,0.751189
255.6,1.68663,254.375,0.754639
255.5,0.707225,254.296,0.753682
255.4,1.16529,254.215,0.752707
255.3,0.387815,254.019,0.75032
255.2,0.435459,253.998,0.750067
255.1,1.41852,254.383,0.754742
255,1.55511,254.311,0.753873
254.9,0.630018,254.388,0.754801
254.8,0.290868,254.589,0.757233
254.7,1.77752,254.279,0.753481
254.6,0.197627,254.555,0.756824
254.5,0.942477,254.902,0.761033
254.4,1.2227,254.366,0.754533
254.3,1.31636,254.333,0.754129
