TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
304.6,1.755512233,208.009,0.144328
304.5,0.4382683333,207.901,0.142786
304.4,0.8350806667,207.946,0.143435
304.3,1.488673667,207.324,0.134511
304.2,0.7473656667,207.784,0.141113
304.1,0.7932736667,208.369,0.149486
304,1.563994,207.535,0.137537
303.9,1.407118333,207.726,0.140284
303.8,0.4542026667,207.577,0.138139
303.7,0.734904,207.707,0.140008
303.6,1.907186667,207.559,0.137879
303.5,1.282009667,207.246,0.133388
303.4,0.4376593333,207.722,0.140219
303.3,1.810026667,208.354,0.149275
303.2,1.391156667,207.979,0.143906
303.1,1.496146667,208.184,0.146843
303,2.05332,207.605,0.138545
302.9,2.202926667,207.686,0.139699
302.8,0.2653113333,207.834,0.141827
302.7,0.9473506667,207.59,0.138334
302.6,0.6852474,207.623,0.138805
302.5,0.6939766667,207.145,0.131939
302.4,0.9787306333,207.907,0.142867
302.3,1.242995,207.166,0.132232
302.2,0.7724156667,207.96,0.14363
302.1,0.4956393333,208.186,0.146875
302,0.863848,208.415,0.15015
301.9,0.6692945,207.737,0.14043
301.8,1.244287667,207.93,0.143208
301.7,0.6177823333,208.073,0.145253
301.6,0.906707,207.376,0.13526
301.5,0.783283,206.951,0.129152
301.4,0.8842903333,207.535,0.137537
301.3,0.008059666667,207.547,0.137716
301.2,0.3972261,207.043,0.130473
301.1,1.179875667,207.313,0.134348
301,0.6901333333,207.627,0.138854
300.9,2.076072333,207.612,0.138643
300.8,1.412645333,207.897,0.142737
300.7,1.880306333,208.023,0.144539
300.6,0.09321733333,207.734,0.140398
300.5,0.701531,207.507,0.13713
300.4,0.6781618667,207.837,0.141876
300.3,0.7826851,207.222,0.133046
300.2,1.484565667,208.101,0.145659
300.1,0.02708733333,207.485,0.136822
300,1.445408,207.513,0.137228
299.9,1.319652233,207.918,0.143029
299.8,1.593150667,207.042,0.130456
299.7,0.2493516667,207.537,0.13757
299.6,1.641943333,206.175,0.11797
299.5,0.8019816667,207.98,0.143922
299.4,1.842294,206.941,0.129006
299.3,1.692098333,206.189,0.118167
299.2,0.955915,207.291,0.134039
299.1,1.305471,207.603,0.138512
299,0.5815943333,206.798,0.126951
298.9,0.7527426667,207.321,0.134462
298.8,1.303207667,207.493,0.136935
298.7,0.386176,207.471,0.136626
298.6,1.900314333,207.535,0.137537
298.5,1.087580333,207.159,0.132134
298.4,1.165286667,207.505,0.137114
298.3,0.9092736667,207.605,0.138545
298.2,1.38813,207.771,0.140918
298.1,0.9921123333,207.43,0.136024
298,1.099399333,207.039,0.130408
297.9,1.421335,207.47,0.13661
297.8,1.576261333,207.457,0.136415
297.7,0.4699042,207.423,0.135927
297.6,1.939453333,207.212,0.132899
297.5,1.067127,207.019,0.13013
297.4,1.009906667,207.185,0.132509
297.3,1.516643333,207.673,0.13952
297.2,-0.2021735,206.63,0.124521
297.1,1.465492,206.955,0.129202
297,1.928513333,207.239,0.13329
296.9,1.37461,206.819,0.127245
296.8,0.80026,206.841,0.127571
296.7,1.125235667,207.103,0.131336
296.6,1.798084333,206.768,0.126511
296.5,0.4186726,206.55,0.123378
296.4,0.6456733333,207.053,0.130619
296.3,0.4843833333,207.008,0.129967
296.2,0.4887473333,207.391,0.135471
296.1,0.2929333333,207.152,0.132037
296,0.173058,207.766,0.140853
295.9,1.125117667,207.108,0.131401
295.8,0.8020096667,207.017,0.130098
295.7,0.9702353333,207.453,0.136366
295.6,1.184688,207.43,0.136024
295.5,1.169554333,207.054,0.130636
295.4,1.259696667,206.56,0.123525
295.3,1.357846,206.379,0.120912
295.2,1.963324333,207.571,0.138057
295.1,1.404931333,207.357,0.134983
295,1.570051333,207.288,0.13399
294.9,1.272330667,207.161,0.132167
294.8,1.878366667,207.019,0.13013
294.7,0.95141,207.237,0.133258
294.6,1.52061,207.042,0.130456
294.5,1.750621667,207.437,0.136138
294.4,1.265042,207.568,0.138009
294.3,0.4828056667,207.309,0.1343
294.2,0.800443,207.171,0.132313
294.1,1.268709333,207.746,0.140561
294,1.462635,206.692,0.125418
293.9,1.264964767,207.544,0.137667
293.8,1.706683,207.465,0.136529
293.7,1.526715,206.548,0.123345
293.6,0.7940159,207.546,0.1377
293.5,1.491502667,207.592,0.13835
293.4,1.278996667,206.972,0.129446
293.3,1.353853333,206.573,0.123705
293.2,1.033543667,206.806,0.127066
293.1,2.039073333,207.41,0.135748
293,0.742185,206.973,0.129462
292.9,0.9593196667,207.553,0.137797
292.8,1.079588667,206.639,0.124651
292.7,0.755083,207.479,0.13674
292.6,1.255551267,207.121,0.131597
292.5,-0.1256785667,207.63,0.138903
292.4,0.9169966667,206.83,0.127408
292.3,2.57648,207.077,0.130962
292.2,1.019491333,205.975,0.115075
292.1,1.341350333,207.357,0.134983
292,1.293636667,206.639,0.124651
291.9,0.5041332667,206.742,0.126136
291.8,0.4405496667,205.64,0.110245
291.7,0.6266763333,208.018,0.144458
291.6,2.264813333,206.221,0.118624
291.5,1.406927,206.787,0.126788
291.4,0.662144,206.743,0.126152
291.3,2.31685,206.257,0.119147
291.2,0.41398,207.437,0.136138
291.1,1.099786333,207.095,0.131222
291,0.9062496667,206.184,0.118101
290.9,1.63362,206.966,0.129365
290.8,1.677063,206.97,0.129414
290.7,1.775135667,206.541,0.123247
290.6,1.393865,206.82,0.127261
290.5,1.991475667,205.689,0.11095
290.4,0.9901756667,207.196,0.132672
290.3,1.406196667,206.955,0.129202
290.2,1.645613333,206.647,0.124766
290.1,-0.3301793333,205.801,0.112571
290,0.9823174,206.71,0.125679
289.9,0.9200576667,207.422,0.13591
289.8,-0.173809,206.655,0.12488
289.7,1.5651,207.203,0.132769
289.6,0.1052956667,206.034,0.115926
289.5,1.183904667,207.535,0.137537
289.4,1.320761333,207.202,0.132753
289.3,1.784985667,206.843,0.127587
289.2,2.15978,207.304,0.134218
289.1,1.70563,207.095,0.131222
289,1.680370333,205.901,0.114012
288.9,1.442909667,208.488,0.151187
288.8,1.515229333,206.327,0.12016
288.7,0.638675,206.529,0.123068
288.6,0.907507,206.615,0.124308
288.5,1.261772,207.494,0.136952
288.4,0.1902623333,206.421,0.121517
288.3,1.254780333,206.934,0.128908
288.2,0.868009,207.656,0.139277
288.1,0.237832,207.146,0.131955
288,0.9597695667,206.58,0.123803
287.9,-0.5532426667,207.793,0.141243
287.8,1.039728333,207.328,0.13456
287.7,1.051541867,206.744,0.126169
287.6,1.018291,206.21,0.118477
287.5,0.9583193333,207.86,0.142201
287.4,1.563886667,206.055,0.116237
287.3,1.010503333,207.397,0.135553
287.2,0.6533343333,207.262,0.133616
287.1,1.288687,207.602,0.138496
287,0.9442306333,207.632,0.138935
286.9,0.9470906667,205.501,0.108229
286.8,1.637253333,207.722,0.140219
286.7,0.1474420333,207.13,0.131727
286.6,1.674023333,206.413,0.121402
286.5,1.691123333,207.718,0.140171
286.4,1.538685667,207.29,0.134023
286.3,1.509119667,206.712,0.125712
286.2,1.024906633,206.362,0.120667
286.1,1.184693667,207.97,0.143776
286,0.7004593333,207.305,0.134234
285.9,0.1794393333,207.159,0.132134
285.8,1.055509667,207.764,0.14082
285.7,1.95831,207.286,0.133958
