TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
306.6,638094.4122,138.9975207,0.151656
306.5,381371.4797,139.4551743,0.1572523333
306.4,67277.15691,138.6987667,0.1472496667
306.3,327943.6746,139.1036157,0.1536
306.2,611520.6378,139.1918113,0.1563983333
306.1,222991.5065,139.1777257,0.1519683333
306,288684.2199,139.1688123,0.1543053333
305.9,86837.7291,139.228209,0.156746
305.8,477475.19,139.1514503,0.1598253333
305.7,52117.41916,139.3485377,0.154053
305.6,-42361.64506,139.3947073,0.158647
305.5,755152.7343,139.3579123,0.1565043333
305.4,451471.1667,139.071425,0.1537743333
305.3,774754.88,139.2622477,0.1537826667
305.2,373838.1761,139.1467847,0.154602
305.1,631056.3254,139.2222357,0.1535346667
305,538602.8908,139.619379,0.158406
304.9,561718.3728,139.1442657,0.150018
304.8,241687.9303,138.7659203,0.1475866667
304.7,507013.4108,139.0777967,0.1515216667
304.6,554026.8216,139.20127,0.1520263333
304.5,415209.2088,139.327252,0.1555096667
304.4,411148.264,138.9904553,0.1543506667
304.3,848161.5259,139.132675,0.1519153333
304.2,399158.3967,139.5563383,0.1609026667
304.1,391459.395,139.7097623,0.162642
304,579184.7713,139.3059153,0.1517356667
303.9,276085.9782,138.6801387,0.1477763333
303.8,478905.9306,138.4414653,0.1437986667
303.7,549115.2585,139.3483623,0.1566096667
303.6,369608.2551,139.25528,0.153842
303.5,898928.6246,139.151926,0.1540576667
303.4,582171.0624,138.3897707,0.143241
303.3,281296.3642,138.983405,0.1501693333
303.2,882735.8069,138.8242083,0.149464
303.1,410459.693,139.066055,0.153648
303,83343.36165,139.3582673,0.1551193333
302.9,615784.9799,139.36576,0.1568953333
302.8,356474.2959,138.510547,0.143764
302.7,-24509.31307,139.2818343,0.1537183333
302.6,1085528.237,139.2920327,0.1527433333
302.5,402628.5203,139.177337,0.1530296667
302.4,561755.1781,139.110016,0.1499336667
302.3,302956.0423,138.871304,0.147876
