TITLE,SL + BM Corrected Average Protein and KCl,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
304.6,611.5875627,207.29,0.134023
304.5,152.7685558,207.82,0.141633
304.4,-125.216208,207.392,0.135487
304.3,961.9813572,208.234,0.147557
304.2,309.902768,207.516,0.137261
304.1,168.6372396,207.879,0.142477
304,208.6288182,207.803,0.141389
303.9,294.1635652,208.74,0.154798
303.8,297.2464257,208.305,0.148578
303.7,450.1477826,207.21,0.132867
303.6,264.9142821,207.868,0.142315
303.5,148.7891099,207.337,0.13469
303.4,-23.51114625,207.45,0.136317
303.3,318.2930104,207.508,0.137147
303.2,23.74330854,208.429,0.150345
303.1,545.9966457,207.176,0.132378
303,450.8149145,207.927,0.143159
302.9,62.70308944,208.591,0.152661
302.8,-168.7861199,208.26,0.147929
302.7,-7.326985522,207.643,0.139081
302.6,239.1377165,207.998,0.144182
302.5,119.5279457,207.98,0.143922
302.4,55.67371542,207.024,0.130196
302.3,362.3759634,207.628,0.13887
302.2,380.3499605,208.208,0.147183
302.1,776.7764412,207.815,0.141551
302,-7.244952569,207.069,0.130847
301.9,470.360788,207.023,0.130179
301.8,-55.78075991,207.883,0.142526
301.7,-30.60304992,207.622,0.138789
301.6,138.1769659,207.454,0.136382
301.5,-61.80459786,207.423,0.135927
301.4,532.9571304,207.975,0.143841
301.3,633.7918394,207.474,0.136659
301.2,146.8536981,206.794,0.126886
301.1,132.6502386,207.686,0.139699
301,533.3592555,207.802,0.141373
300.9,368.8625203,207.931,0.143224
300.8,401.8848721,207.28,0.133876
300.7,465.87591,206.806,0.127066
300.6,699.487419,207.831,0.141779
300.5,578.7804916,207.887,0.142591
300.4,83.1534096,207.585,0.138252
300.3,113.5865875,207.891,0.14264
300.2,434.0986561,206.818,0.127229
300.1,47.9614136,208.305,0.148578
300,-262.0373228,207.873,0.14238
299.9,-207.0100298,207.227,0.133111
299.8,715.9785702,207.349,0.134869
299.7,278.5159684,207.893,0.142672
299.6,194.4100237,206.933,0.128892
299.5,653.1879392,206.78,0.126691
299.4,-179.2095138,207.473,0.136642
299.3,461.4960198,206.998,0.129821
299.2,170.8731211,207.308,0.134283
299.1,79.02005138,208.118,0.145902
299,49.96639672,206.558,0.123492
298.9,583.8065351,206.858,0.127816
298.8,-44.3303913,207.324,0.134511
298.7,488.2933967,207.155,0.132085
298.6,450.3047025,207.232,0.133193
298.5,525.3457841,207.245,0.133372
298.4,788.8729496,207.663,0.139374
298.3,-5.214972332,206.746,0.126201
298.2,-214.1805573,207.783,0.141097
298.1,587.4450158,207.252,0.133469
298,-162.0635875,206.801,0.126984
297.9,430.9086023,206.61,0.124243
297.8,242.3967614,207.657,0.139293
297.7,-288.7425425,207.797,0.141292
297.6,633.2954733,207.139,0.131857
297.5,498.6518789,207.723,0.140236
297.4,-152.0636086,207.031,0.130293
297.3,-32.1750751,207.563,0.137943
297.2,417.9680921,207.673,0.13952
297.1,341.3926522,207.271,0.133746
297,697.0157115,207.682,0.13965
296.9,-74.04358498,207.433,0.136073
296.8,306.2838944,207.279,0.13386
296.7,131.257167,207.206,0.132818
296.6,-190.2401899,206.56,0.123525
296.5,-168.0238539,207.771,0.140918
296.4,339.3013333,207.873,0.14238
296.3,672.4385835,207.861,0.142217
296.2,351.3184887,207.918,0.143029
296.1,-42.74005432,206.526,0.123035
296,277.4680015,206.618,0.124358
295.9,78.61301319,208.177,0.146746
295.8,216.5554931,209.484,0.165399
295.7,165.1309644,207.469,0.136594
295.6,793.7146798,206.787,0.126788
295.5,846.0817683,206.788,0.126805
295.4,-157.6473572,208.516,0.151592
295.3,119.057336,207.373,0.135211
295.2,969.1840277,208.265,0.147994
295.1,-141.9080504,206.88,0.128126
295,612.6055007,206.939,0.128973
294.9,-108.91875,207.156,0.132102
294.8,57.47263374,207.914,0.14298
294.7,592.5062398,205.64,0.110245
294.6,205.1645272,206.656,0.124896
294.5,275.5949406,208.004,0.144263
294.4,1246.107872,206.962,0.129299
294.3,211.7688933,207.865,0.142266
294.2,-269.2870395,208.107,0.14574
294.1,393.4484322,207.701,0.139927
294,577.2390461,206.588,0.123917
293.9,355.5294136,207.173,0.132346
293.8,419.4581439,208.125,0.146
293.7,431.065373,207.914,0.14298
293.6,687.5409813,206.61,0.124243
293.5,130.8082938,206.606,0.124178
293.4,-140.1496271,206.946,0.129071
293.3,-73.98462846,207.025,0.130212
293.2,-51.35991451,207.366,0.135113
293.1,-123.9400079,208.075,0.145286
293,-209.9781186,207.941,0.143354
292.9,187.0789888,207.05,0.13057
292.8,795.0811013,206.997,0.129804
292.7,380.7634007,207.394,0.13552
292.6,595.2726853,206.971,0.12943
292.5,77.94111724,207.572,0.138074
292.4,693.8927577,207.111,0.13145
292.3,777.5247129,207.687,0.139715
292.2,501.8149111,206.412,0.121386
292.1,409.3525493,206.58,0.123803
292,337.6744759,207.884,0.142542
291.9,242.8322357,206.793,0.12687
291.8,13.24094964,206.982,0.129593
291.7,39.95138091,206.986,0.129658
291.6,-215.9583348,207.649,0.139179
291.5,109.9568161,207.211,0.132883
291.4,-29.87294173,206.626,0.124472
291.3,733.9586719,206.856,0.127783
291.2,663.6186285,207.126,0.131662
291.1,426.4974333,205.977,0.115108
291,-54.49994466,206.588,0.123917
290.9,-164.6082465,206.735,0.126038
290.8,750.4730489,206.908,0.128533
290.7,46.97926629,207.287,0.133974
290.6,5.846521739,207.12,0.13158
290.5,815.4511754,206.301,0.119785
290.4,826.0407194,206.777,0.126642
290.3,309.6007217,207.066,0.130799
290.2,-11.09648075,207.109,0.131417
290.1,496.5487984,206.728,0.12594
290,258.2649987,206.505,0.122725
289.9,-224.6060356,207.681,0.139634
289.8,721.1064481,206.854,0.127751
289.7,728.9196759,207.457,0.136415
289.6,518.5246932,207.031,0.130293
289.5,69.43824707,206.946,0.129071
289.4,-128.5073518,207.108,0.131401
289.3,-398.460183,207.59,0.138334
289.2,627.1497025,207.343,0.134788
289.1,-66.65630288,207.481,0.136756
289,421.4013864,207.495,0.136968
288.9,-140.4420277,207.927,0.143159
288.8,271.4550764,207.76,0.140772
288.7,-165.7751685,207.818,0.1416
288.6,-33.41986166,207.698,0.139878
288.5,153.7072449,207.667,0.139439
288.4,491.5968972,208.336,0.149016
288.3,450.6197322,208.261,0.147946
288.2,-187.6502713,206.633,0.12457
288.1,4.881927387,206.958,0.129251
288,-231.3373518,207.624,0.138821
287.9,344.9225995,207.244,0.133355
287.8,-301.2021698,208.195,0.147005
287.7,350.0957366,207.136,0.131808
287.6,586.1778972,207.313,0.134348
287.5,518.4835571,207.953,0.143533
287.4,474.5005033,208.057,0.145026
287.3,501.3930593,207.68,0.139618
287.2,-263.3916702,207.194,0.132639
287.1,233.6165573,207.424,0.135943
287,22.75543083,207.82,0.141633
286.9,-151.6282831,206.279,0.119474
286.8,807.7775968,207.271,0.133746
286.7,319.0329447,207.263,0.133632
286.6,18.37106044,208.15,0.146356
286.5,578.1541527,207.496,0.136984
286.4,216.0583822,208.202,0.147102
286.3,-197.9527747,207.664,0.13939
286.2,617.8083691,207.488,0.13687
286.1,190.8626575,207.669,0.139455
286,325.0484452,207.734,0.140398
285.9,162.4780697,207.554,0.137814
285.8,-643.6136087,207.471,0.136626
285.7,383.5662174,207.973,0.143825
285.6,387.4478192,207.926,0.143143
285.5,264.9157708,207.278,0.133844
285.4,132.4599698,208.09,0.145496
285.3,-269.7159777,207.678,0.139586
285.2,-28.62651779,207.738,0.140447
285.1,-101.4281896,208.169,0.146632
285,400.7303933,208.07,0.145204
284.9,1325.135368,208.684,0.153989
284.8,227.8446245,208.193,0.146973
284.7,-421.9577962,207.275,0.133811
284.6,193.7530754,208.245,0.147719
284.5,479.4328715,208.812,0.155818
284.4,656.0285717,207.852,0.142087
284.3,266.9106153,208.186,0.146875
284.2,-260.4148272,207.671,0.139488
284.1,541.6418741,208.232,0.147524
284,-9.616612648,207.66,0.139325
283.9,112.2643835,208.551,0.152094
283.8,-464.1633557,207.289,0.134007
283.7,279.25888,208.462,0.150815
283.6,770.0595667,207.221,0.13303
283.5,-131.9187308,207.768,0.140886
283.4,397.8777345,207.963,0.143679
283.3,486.4641067,208.021,0.144506
283.2,197.4674255,207.933,0.14324
283.1,123.3309392,207.735,0.140414
283,5.973814229,207.718,0.140171
282.9,205.0607574,207.213,0.132916
282.8,193.6050291,207.427,0.135992
282.7,701.6443938,208.047,0.14488
282.6,-485.696332,208.06,0.145058
282.5,-36.71770502,208.03,0.144636
282.4,-109.7402701,207.606,0.138561
282.3,279.3492502,206.869,0.127963
282.2,786.2692157,208.68,0.15394
282.1,-383.2672662,207.424,0.135943
282,167.758996,208.167,0.1466
281.9,-170.886952,206.426,0.121582
281.8,-52.56509881,207.52,0.137326
281.7,103.0881581,207.509,0.137163
281.6,255.7511581,208.094,0.145545
281.5,12.88192555,208.384,0.149696
281.4,-698.4084847,207.741,0.140495
281.3,731.9218282,208.222,0.147378
281.2,-434.5074807,207.544,0.137667
281.1,89.31823715,207.963,0.143679
281,72.33146374,208.013,0.144393
280.9,257.9222768,207.649,0.139179
280.8,78.28622134,208.212,0.147248
280.7,29.39980091,207.918,0.143029
280.6,311.9995509,207.326,0.134544
280.5,98.10323532,208.912,0.157241
280.4,39.70304845,208.314,0.148708
280.3,-108.7429223,208.082,0.145383
280.2,257.917785,207.616,0.138708
280.1,766.7371581,207.757,0.140723
280,-29.48302505,207.937,0.143305
279.9,249.4740751,208.131,0.146081
279.8,-36.28446378,207.705,0.139975
279.7,53.14245588,207.692,0.139797
279.6,504.0589062,208.016,0.144442
279.5,657.5935547,208.395,0.149859
279.4,19.93906573,207.704,0.139959
279.3,-304.0815112,208.195,0.147005
279.2,-196.1239611,207.588,0.138301
279.1,-227.8250319,208.346,0.149162
279,141.0245954,208.342,0.149097
278.9,-133.0994693,208.159,0.146486
278.8,138.3955217,208.256,0.147865
278.7,485.3842792,209.3,0.162784
278.6,-9.022283253,207.524,0.137374
278.5,-258.4871278,208.611,0.152953
278.4,-90.33091948,207.746,0.140561
278.3,-145.1012307,208.37,0.149502
278.2,161.9711331,208.866,0.156594
278.1,78.1577378,207.576,0.138123
278,255.1062095,207.802,0.141373
277.9,513.9205761,208.524,0.151706
277.8,-80.67208458,208.22,0.147362
277.7,-548.7242781,208.062,0.145091
277.6,591.9650158,208.225,0.147427
277.5,250.5836784,208.016,0.144442
277.4,32.12862437,207.907,0.142867
277.3,224.165499,207.853,0.142104
277.2,-53.90114873,207.87,0.142347
277.1,94.00036759,207.935,0.143273
277,97.1519212,208.458,0.150766
276.9,902.0201922,208.167,0.1466
276.8,177.8572359,208.029,0.14462
276.7,-250.7322609,208.092,0.145529
276.6,175.4385295,207.037,0.130391
276.5,812.0778498,208.081,0.145367
276.4,138.9950618,207.942,0.14337
276.3,-38.72565084,208.223,0.147394
276.2,236.9864585,207.513,0.137228
276.1,-495.0199486,208.031,0.144653
276,-42.23296838,208.135,0.146145
275.9,500.6631003,208.122,0.145951
275.8,308.0636075,208.158,0.14647
275.7,-133.8558696,208.394,0.149842
275.6,135.1993636,207.816,0.141568
275.5,499.3663543,208.569,0.152354
275.4,536.8095519,207.846,0.142006
275.3,506.211415,207.433,0.136073
275.2,93.58246112,208.189,0.146908
275.1,237.8675308,208.282,0.148238
275,-263.7894927,207.532,0.137488
274.9,-346.5060881,208.787,0.155462
274.8,-198.7586627,207.904,0.142835
274.7,589.6255138,207.938,0.143322
274.6,756.1406166,208.416,0.150167
274.5,-170.4200791,208.543,0.151981
