TITLE,KMGM_Additive&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:27:31,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.43344,,
MAXY,54.05992,,
MINY,-64.3879,,
XYDATA,,,
311.5,1.220217667,207.5296667,0.1374603333
311.4,1.76152,207.4073333,0.135704
311.3,0.8847999667,208.431,0.150369
311.2,1.126708333,208.139,0.146184
311.1,1.122204333,208.011,0.1443596667
311,0.8808673333,207.862,0.1422053333
310.9,0.8922423333,207.8453333,0.1419836667
310.8,1.086050667,207.8043333,0.1414006667
310.7,1.697603333,208.1583333,0.146468
310.6,0.703868,207.8486667,0.142038
310.5,1.622554667,208.153,0.146385
310.4,1.179225667,207.8373333,0.1418763333
310.3,0.5432546667,207.7116667,0.140051
310.2,1.192756667,208.2966667,0.1484506667
310.1,1.155156667,207.5986667,0.1384416667
310,-0.2316281667,208.5413333,0.15192
309.9,1.143773333,208.1896667,0.1469073333
309.8,0.7527604333,207.5446667,0.1376716667
309.7,2.452953333,207.4313333,0.1360393333
309.6,1.2124208,208.097,0.1455983333
309.5,0.7529956667,207.975,0.1438456667
309.4,0.8139091667,207.8896667,0.142628
309.3,0.6517123333,207.6753333,0.139541
309.2,1.342884333,207.6733333,0.139515
309.1,0.7944582333,207.5733333,0.138086
309,1.441415667,208.14,0.1462016667
308.9,1.31118,207.7753333,0.140981
308.8,1.97276,207.5503333,0.1377546667
308.7,0.720583,207.9083333,0.1428926667
308.6,0.9351403333,207.821,0.1416373333
308.5,1.72504,207.555,0.137824
308.4,1.396244667,207.361,0.1350413333
308.3,1.517835,207.562,0.1379246667
308.2,0.7591736667,207.5413333,0.137627
308.1,1.866153333,207.523,0.137354
308,1.099617267,207.6876667,0.1397196667
307.9,2.17295,207.6523333,0.139218
307.8,1.785266,207.3156667,0.1343876667
307.7,1.791746667,207.7666667,0.1408596667
307.6,0.9051203333,208.106,0.1457223333
307.5,0.8833023333,207.4343333,0.1360753333
307.4,1.606176,207.5293333,0.1374573333
307.3,0.630585,207.4273333,0.1359883333
307.2,0.8385996667,207.397,0.1355526667
307.1,0.868694,207.6243333,0.1388133333
307,2.037083333,207.8223333,0.1416586667
306.9,1.541953667,207.322,0.1344783333
306.8,1.714386,207.908,0.1428876667
306.7,1.178188333,207.4753333,0.1366786667
306.6,1.956276667,207.7493333,0.1406066667
306.5,2.602663333,207.2086667,0.1328496667
306.4,1.2589658,207.4313333,0.1360453333
306.3,0.8451383333,207.6706667,0.1394823333
306.2,1.289585,207.3376667,0.1346936667
306.1,1.068602667,207.581,0.1381946667
306,1.304422,207.2523333,0.1334756667
305.9,1.022897667,207.8993333,0.1427536667
305.8,1.40602,207.7,0.139897
305.7,1.078265033,208.0276667,0.144603
305.6,1.628253,207.237,0.1332556667
305.5,1.9143,207.704,0.139964
305.4,0.5049096667,207.612,0.138635
305.3,2.188342333,207.93,0.1431966667
305.2,0.2264786667,207.8093333,0.1414673333
305.1,1.714028333,207.2723333,0.13376
305,0.7811216667,208.0623333,0.145078
304.9,1.823556667,207.2733333,0.133775
304.8,0.8990226667,207.6316667,0.1389153333
304.7,1.008479,207.2216667,0.133036
304.6,1.305856667,207.3846667,0.1353746667
304.5,1.299506667,207.533,0.1375123333
304.4,0.3750190333,207.5136667,0.1372286667
304.3,1.447032333,207.8246667,0.1416866667
304.2,1.796963333,207.9256667,0.143139
304.1,1.309512,207.9436667,0.143384
304,1.630677667,207.317,0.1344033333
303.9,1.204114667,207.513,0.1371926667
303.8,1.182132667,207.765,0.1408176667
303.7,1.065353533,208.0476667,0.1448846667
303.6,1.867536667,207.2256667,0.1330956667
303.5,1.418296,207.868,0.1423116667
303.4,1.389506667,207.6576667,0.139302
303.3,1.04544,207.9366667,0.143279
303.2,0.8294603333,207.7863333,0.1411433333
303.1,0.7421771667,207.8526667,0.142078
303,0.921872,207.0896667,0.1311346667
302.9,1.60129,207.7526667,0.140656
302.8,1.379858,207.6716667,0.1394893333
302.7,1.248495,207.4113333,0.13576
302.6,0.4379823333,207.7033333,0.139921
302.5,1.983066667,207.2526667,0.13348
302.4,1.787056,207.743,0.140513
302.3,0.5671416667,206.5646667,0.1235826667
302.2,1.529474667,207.1686667,0.132269
302.1,1.1688575,207.2196667,0.132998
302,2.19876,207.3373333,0.134691
301.9,0.955614,207.5486667,0.1377283333
301.8,0.8290376667,207.6546667,0.139232
301.7,1.237831667,207.244,0.1333546667
301.6,-0.08238383333,207.4776667,0.1366993333
301.5,1.48223,207.3856667,0.1353893333
