TITLE,AZNTEA_ADDITIVE&PROTEIN_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:55:35,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.04193,,
MAXY,51.60477,,
MINY,-66.95696,,
XYDATA,,,
311.6,1.525753333,208.183,0.1468223333
311.5,1.496696667,207.8693333,0.142332
311.4,1.621533333,208.1153333,0.1458586667
311.3,1.050584167,208.3986667,0.1499093333
311.2,1.062356,207.4706667,0.136609
311.1,1.410793333,207.8933333,0.142674
311,1.573136667,207.6666667,0.139415
310.9,1.111984333,207.248,0.1334106667
310.8,2.230573333,207.6366667,0.138993
310.7,1.296267,208.214,0.147267
310.6,0.557656,207.8106667,0.1414906667
310.5,0.842607,207.589,0.1383086667
310.4,1.126281567,208.244,0.1476966667
310.3,0.8530802667,207.873,0.1423843333
310.2,1.259248333,207.6603333,0.139335
310.1,1.338433667,207.7403333,0.140477
310,1.064307,207.7033333,0.1399533333
309.9,0.6713223333,208.1293333,0.1460576667
309.8,1.388980667,207.2233333,0.1330616667
309.7,0.956691,207.8943333,0.1426876667
309.6,1.2265003,207.9796667,0.1439153333
309.5,1.154886667,207.132,0.131748
309.4,1.465634333,207.7373333,0.1404373333
309.3,1.340398,207.763,0.140808
309.2,0.745614,207.7093333,0.140034
309.1,1.228155333,207.8726667,0.142383
309,1.070716667,207.824,0.1416796667
308.9,0.3676103333,208.058,0.145021
308.8,1.478731333,207.8876667,0.142592
308.7,1.78524,208.0853333,0.145424
308.6,0.9129186667,207.6236667,0.1388103333
308.5,2.55132,207.9263333,0.143148
308.4,2.31703,207.8926667,0.1426643333
308.3,1.770713333,207.7076667,0.1400166667
308.2,1.055342333,207.57,0.138035
308.1,2.230983333,208.019,0.1444646667
308,2.38156,207.9683333,0.143752
307.9,2.362386667,207.653,0.139227
307.8,0.3017896667,207.7186667,0.1401673333
307.7,0.6897433333,207.9816667,0.1439376667
307.6,1.710069667,208.1093333,0.145769
307.5,2.011433333,207.578,0.1381473333
307.4,1.300019667,207.698,0.139876
307.3,1.857509667,207.7486667,0.140598
307.2,0.8780506667,207.4956667,0.1369783333
307.1,1.537946667,207.4863333,0.136835
307,2.819246667,207.865,0.1422706667
306.9,1.535403333,207.7193333,0.140181
306.8,1.938408667,207.481,0.1367616667
306.7,1.647357333,207.5016667,0.1370573333
306.6,1.315401,207.2646667,0.133649
306.5,1.715474667,207.7026667,0.1399406667
306.4,1.537913333,207.4323333,0.1360656667
306.3,0.6522388667,207.388,0.1354276667
306.2,1.863643333,207.619,0.1387456667
306.1,2.112696667,207.813,0.1415213333
306,0.7190261,207.9816667,0.1439426667
305.9,1.365738667,207.7723333,0.1409363333
305.8,1.2525,207.6786667,0.139591
305.7,1.645933333,207.949,0.1434726667
305.6,1.553195667,207.9896667,0.1440596667
305.5,1.510946667,207.7486667,0.1406036667
305.4,1.940846667,207.2783333,0.1338543333
305.3,1.348696,207.4953333,0.136966
305.2,2.3004,207.7756667,0.1409836667
305.1,0.2420256667,207.422,0.1359106667
305,1.623942667,207.7216667,0.1402093333
304.9,0.263461,207.7716667,0.1409333333
304.8,0.9103776667,207.7506667,0.1406363333
304.7,1.833904,207.776,0.1409936667
304.6,0.4321144667,207.3933333,0.1354996667
304.5,0.7279263333,207.6766667,0.1395603333
304.4,1.787853333,207.2213333,0.133035
304.3,1.186377633,207.478,0.136712
304.2,1.16615,207.4116667,0.1357693333
304.1,1.323182667,207.6216667,0.1387826667
304,2.224226667,207.0126667,0.130022
303.9,1.038893,207.224,0.1330726667
303.8,0.7320933333,207.5463333,0.137699
303.7,1.108109667,207.685,0.1396863333
303.6,0.8387423333,207.7493333,0.1406126667
303.5,-0.1028418667,207.8113333,0.1414986667
303.4,1.123159,207.7856667,0.141132
303.3,0.9467066667,207.619,0.1387453333
303.2,1.538348333,207.3653333,0.1351013333
303.1,0.800335,207.5386667,0.137589
303,0.4107113333,207.294,0.134073
302.9,1.123619333,207.3323333,0.134628
302.8,2.026033333,207.6133333,0.1386623333
302.7,1.669033,207.8073333,0.1414406667
302.6,1.798940333,207.494,0.1369436667
302.5,0.7380386667,207.8083333,0.1414516667
302.4,1.192937,207.6663333,0.1394126667
302.3,0.9559386667,207.4836667,0.1367823333
302.2,1.518074333,207.3806667,0.1353236667
302.1,1.646716667,207.4453333,0.1362433333
302,0.6544030333,207.4576667,0.1364233333
301.9,0.404233,207.1956667,0.1326653333
301.8,1.222673333,207.1063333,0.1313793333
301.7,0.5424363333,206.9516667,0.129157
301.6,1.47227,207.1286667,0.131704
301.5,0.821745,207.464,0.136516
301.4,0.6104236667,207.4906667,0.1369023333
301.3,1.354603667,206.9853333,0.129641
301.2,1.587029,207.8286667,0.1417376667
301.1,1.862402667,206.9763333,0.1295076667
301,2.08283,207.3763333,0.135259
300.9,0.979083,207.084,0.1310553333
300.8,1.419650333,207.5593333,0.137881
300.7,1.270300667,207.64,0.1390373333
300.6,1.59385,207.5583333,0.1378726667
300.5,0.8667096667,207.645,0.139111
300.4,1.266668333,207.093,0.1311846667
300.3,1.021134667,207.3236667,0.134504
300.2,1.280506,207.6793333,0.1396073333
300.1,1.398044,207.0853333,0.131079
300,1.48746,206.9566667,0.1292246667
299.9,1.149939333,207.533,0.1375126667
299.8,0.9066433333,207.385,0.1353796667
299.7,1.388840667,207.3313333,0.134613
299.6,0.8689443333,207.3403333,0.134743
299.5,0.9892840333,207.6626667,0.1393653333
299.4,1.802372,207.1626667,0.132194
299.3,1.775071,207.0363333,0.130364
299.2,-0.08387666667,207.4983333,0.1370083333
299.1,0.944063,207.24,0.1333026667
299,2.31239,207.1726667,0.1323313333
298.9,0.539284,207.4196667,0.13588
298.8,0.79375,207.2263333,0.1331053333
298.7,1.416711333,207.5726667,0.138075
298.6,1.997298,207.2693333,0.133727
298.5,1.826286667,207.0313333,0.1302976667
298.4,0.8097186667,206.7803333,0.1266836667
298.3,1.382194,207.2356667,0.133237
298.2,1.449975333,207.2023333,0.1327573333
298.1,1.533481667,207.017,0.1300896667
298,1.835353333,207.059,0.1306976667
297.9,1.616184,206.789,0.1268133333
297.8,0.8964676667,207.166,0.1322363333
297.7,0.7202406667,206.92,0.1286936667
297.6,1.853897,207.0813333,0.131021
297.5,0.7731174333,206.9526667,0.1291653333
297.4,0.2063739,207.1436667,0.1319166667
297.3,1.144287333,207.3346667,0.1346606667
297.2,0.772331,206.9373333,0.128946
297.1,0.9011428,206.996,0.129793
297,0.862637,207.0086667,0.129978
296.9,0.9628066667,207.2966667,0.134111
296.8,0.8950373333,207.3836667,0.1353676667
296.7,1.210746,207.075,0.1309276667
296.6,1.876370333,207.1496667,0.132003
296.5,0.3108203333,207.0116667,0.1300203333
296.4,1.376759675,207.203,0.132766
296.3,0.241286,207.2606667,0.1335963333
296.2,0.9983953333,207.152,0.1320393333
296.1,1.131321333,207.204,0.132778
296,1.95827,207.256,0.1335223333
