TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:48:34,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.59321,,
MAXY,56.26346,,
MINY,-57.28013,,
XYDATA,,,
303.9,1.24682,207.873,0.14238
303.8,0.834678,206.624,0.124439
303.7,1.40278,207.508,0.137147
303.6,-1.33011,207.408,0.135715
303.5,2.05297,207.7,0.139911
303.4,1.61764,206.923,0.128745
303.3,0.0682515,207.765,0.140837
303.2,0.944024,206.069,0.116433
303.1,2.28374,207.8,0.14134
303,0.420678,208.442,0.150539
302.9,0.722081,207.537,0.13757
302.8,-0.583908,208.28,0.148221
302.7,0.39446,207.067,0.130815
302.6,2.25457,208.047,0.14488
302.5,1.99778,206.611,0.124259
302.4,1.62639,207.763,0.140804
302.3,1.21033,207.686,0.139699
302.2,1.84759,208.006,0.144296
302.1,2.05261,206.366,0.120716
302,1.44113,207.49,0.136886
301.9,0.812064,206.988,0.129674
301.8,0.470516,207.75,0.140625
301.7,1.78001,207.142,0.13189
301.6,2.44157,206.027,0.115828
301.5,0.555571,206.694,0.125451
301.4,0.639883,206.616,0.124325
301.3,1.34395,207.953,0.143533
301.2,1.23394,206.905,0.128484
301.1,-0.347054,208.871,0.156659
301,0.43843,206.983,0.129609
300.9,0.54647,206.971,0.12943
300.8,0.341955,207.098,0.131255
300.7,1.18167,207.339,0.134723
300.6,-1.45679,206.703,0.125581
300.5,0.063285,207.331,0.134609
300.4,0.9974,207.647,0.139147
300.3,0.065591,207.213,0.132916
300.2,1.4213,206.396,0.121157
300.1,0.0439098,207.026,0.130228
300,0.582398,207.631,0.138919
299.9,1.24203,208.005,0.144279
299.8,1.53017,207.226,0.133095
299.7,2.38219,206.695,0.125467
299.6,0.603649,208.369,0.149486
299.5,-0.345125,208.475,0.151009
299.4,1.38034,206.869,0.127963
299.3,1.18618,207.129,0.131711
299.2,1.1343,206.568,0.123639
299.1,1.76947,206.537,0.123182
299,2.18905,206.485,0.122431
298.9,1.66207,207.69,0.139764
298.8,2.58062,209.557,0.166448
298.7,1.15136,206.049,0.116155
298.6,0.34948,206.98,0.12956
298.5,0.655111,207.928,0.143175
298.4,0.118511,208.893,0.156982
298.3,2.11019,205.828,0.112964
298.2,0.685064,206.32,0.120063
298.1,-0.393017,206.054,0.116221
298,-0.413963,206.427,0.121598
297.9,1.59302,207.519,0.137309
297.8,1.15823,207.733,0.140382
297.7,1.91078,206.341,0.120357
297.6,0.0171217,207.292,0.134056
297.5,1.63501,206.091,0.11676
297.4,0.301288,206.809,0.127098
297.3,0.373382,206.466,0.12217
297.2,1.43362,206.317,0.120013
297.1,1.7438,207.083,0.131043
297,2.15298,207.096,0.131238
296.9,1.11349,207.237,0.133258
296.8,1.1425,206.923,0.128745
296.7,0.844135,207.487,0.136854
296.6,1.38233,206.596,0.124031
296.5,2.54902,205.661,0.11054
296.4,1.4806,207.699,0.139894
296.3,1.3176,207.06,0.130717
296.2,-0.554922,207.084,0.131059
296.1,2.63143,206.24,0.118902
296,1.14471,206.49,0.122513
295.9,0.0944296,207.103,0.131336
295.8,0.416486,207.054,0.130636
295.7,-0.809884,207.311,0.134316
295.6,1.49669,206.874,0.128044
295.5,0.0314345,206.571,0.123672
295.4,-0.622081,206.299,0.119752
295.3,2.42989,206.483,0.122415
295.2,1.09637,207.376,0.13526
295.1,1.19642,206.894,0.128321
295,1.188,206.49,0.122513
294.9,0.503476,206.41,0.121353
294.8,1.67566,206.357,0.120585
294.7,1.04927,206.687,0.125353
294.6,2.24313,207.005,0.129919
294.5,0.740473,205.649,0.110376
294.4,0.126386,206.904,0.128468
294.3,-0.0428782,206.432,0.12168
294.2,0.610303,206.446,0.121876
294.1,2.27597,207.159,0.132134
294,2.5695,206.606,0.124178
293.9,1.97635,206.167,0.117856
293.8,0.955334,206.668,0.125075
293.7,-0.440435,206.955,0.129202
293.6,2.74656,206.588,0.123917
293.5,1.11654,206.797,0.126935
293.4,1.84047,207.076,0.130945
293.3,0.907732,206.605,0.124162
293.2,1.59097,206.304,0.119834
293.1,-1.32569,207.079,0.130994
293,2.11613,207.189,0.132574
292.9,-0.547943,207.584,0.138236
292.8,1.22296,206.761,0.126413
292.7,2.03081,207.485,0.136822
292.6,-0.519451,206.447,0.121892
292.5,1.30238,206.477,0.122317
292.4,0.937254,205.908,0.11411
292.3,0.299931,206.696,0.125483
292.2,0.632895,207.298,0.134137
292.1,0.00217108,206.132,0.117349
292,-0.397117,206.529,0.123068
291.9,2.0404,206.102,0.116907
291.8,0.317144,208.375,0.149567
291.7,2.44483,206.766,0.126479
291.6,2.6183,207.031,0.130293
291.5,0.0364751,205.808,0.112669
291.4,0.836899,206.872,0.128011
291.3,1.15927,206.491,0.122529
291.2,1.89784,206.54,0.123231
291.1,1.179,206.977,0.129527
291,2.72127,207.194,0.132639
290.9,1.48422,207.792,0.141227
290.8,0.0744705,207.279,0.13386
290.7,-0.912998,207.12,0.13158
290.6,0.504431,206.885,0.128191
290.5,-0.0482172,205.806,0.112636
290.4,3.1203,206.028,0.115844
290.3,1.1926,206.55,0.123378
290.2,-0.0446543,206.895,0.128337
290.1,1.68162,207.134,0.131776
290,1.52494,206.199,0.118314
289.9,-0.311148,206.793,0.12687
289.8,2.93803,204.78,0.0977876
289.7,0.963844,206.946,0.129071
289.6,1.56473,207.726,0.140284
289.5,1.92919,205.97,0.11501
289.4,1.10445,207.103,0.131336
289.3,1.69941,206.436,0.121729
289.2,0.701388,207.066,0.130799
289.1,1.82241,207.01,0.13
289,0.263279,206.94,0.128989
288.9,1.59939,207.844,0.141974
288.8,0.449896,206.09,0.116744
288.7,1.75126,207.193,0.132623
288.6,0.5921,207.573,0.13809
288.5,1.38295,207.397,0.135553
288.4,1.18988,205.877,0.113668
288.3,1.09607,206.592,0.123982
288.2,1.01227,207.283,0.133925
288.1,1.31029,207.22,0.133014
288,0.188467,207.79,0.141194
287.9,0.856888,207.631,0.138919
287.8,0.865655,206.07,0.11645
287.7,1.01783,207.043,0.130473
287.6,-0.698683,206.937,0.128941
287.5,-0.0105074,206.914,0.128615
287.4,0.792357,205.919,0.114273
287.3,1.49472,206.276,0.119425
287.2,0.209876,206.681,0.125255
287.1,-0.568153,207.342,0.134771
287,0.114229,207.862,0.142234
286.9,1.91005,207.137,0.131825
286.8,0.542006,207.207,0.132835
286.7,0.400086,207.504,0.137098
286.6,1.73438,207.649,0.139179
286.5,0.963251,206.847,0.127653
286.4,0.351776,207.598,0.138448
286.3,0.186621,206.387,0.121027
286.2,2.38932,206.559,0.123509
286.1,0.630994,204.823,0.0984124
286,1.14879,206.984,0.129625
285.9,1.49208,207.153,0.132053
285.8,1.09193,207.692,0.139797
285.7,-0.241214,207.122,0.131613
285.6,1.14681,207.36,0.135032
285.5,-0.371773,205.391,0.106639
285.4,-0.867242,207.19,0.13259
285.3,0.41601,206.304,0.119834
285.2,-0.248582,207.582,0.13822
285.1,0.211439,206.519,0.122921
285,1.06029,208.436,0.150442
284.9,1.67319,206.252,0.119082
284.8,0.86426,208.386,0.149729
284.7,0.413473,207.407,0.135699
284.6,1.61322,206.489,0.122496
284.5,1.42808,207.624,0.138821
284.4,-0.0224813,207.348,0.134853
284.3,0.648167,206.951,0.129152
284.2,0.58234,205.932,0.114453
284.1,0.611413,205.603,0.109704
284,0.405055,207.482,0.136773
283.9,1.39916,207.755,0.14069
283.8,1.41971,208.114,0.145837
283.7,0.321098,207.09,0.131141
283.6,0.750834,206.747,0.126217
283.5,0.464546,206.938,0.128957
283.4,-0.794619,207.321,0.134462
283.3,-1.25317,207.752,0.140658
283.2,1.27578,206.481,0.122382
283.1,-0.894209,206.58,0.123803
283,-0.392611,206.644,0.124733
282.9,0.392773,205.839,0.113111
282.8,1.47082,207.363,0.135064
282.7,1.19525,207.133,0.131759
282.6,0.877124,207.904,0.142835
282.5,1.93538,209.227,0.161735
282.4,1.51667,207.307,0.134267
282.3,1.34609,207.333,0.134641
282.2,0.0492334,207.631,0.138919
282.1,1.77929,206.811,0.127131
282,2.21183,207.718,0.140171
281.9,1.05746,207.278,0.133844
281.8,0.32139,206.991,0.129723
281.7,1.91436,206.448,0.121909
281.6,0.667947,207.994,0.144117
281.5,-0.837295,207.047,0.130521
281.4,-0.151681,207.284,0.133941
281.3,1.7654,207.169,0.132281
281.2,-0.433417,207.068,0.130831
281.1,-0.81581,206.838,0.127522
281,0.00991958,207.459,0.136447
280.9,0.381108,207.229,0.133144
280.8,0.658243,206.812,0.127147
280.7,1.95335,207.172,0.132329
280.6,0.228335,207.538,0.137586
280.5,1.91466,207.43,0.136024
280.4,-2.11148,206.853,0.127734
280.3,2.10163,207.109,0.131417
280.2,1.00978,208.078,0.145318
280.1,-0.182245,206.281,0.119491
280,0.959558,206.916,0.128647
279.9,2.81909,206.797,0.126935
279.8,0.705989,208.575,0.152434
279.7,0.0649569,208.065,0.145139
279.6,0.0119707,207.306,0.134251
279.5,-0.368416,207.26,0.133583
279.4,0.78676,205.673,0.11072
279.3,1.50423,208.305,0.148578
279.2,0.240613,206.858,0.127816
279.1,1.16724,206.851,0.127702
279,-0.39607,206.323,0.120095
278.9,0.737958,207.44,0.136171
278.8,1.51263,207.419,0.135878
278.7,-0.925957,207.684,0.139683
278.6,0.586352,207.324,0.134511
278.5,1.18463,208.234,0.147557
278.4,0.815494,207.448,0.136285
278.3,-0.613061,208.103,0.145675
278.2,0.160518,207.956,0.143581
278.1,-1.14546,207.367,0.13513
278,0.929155,208.044,0.144831
277.9,-0.836943,207.799,0.141324
277.8,-0.163205,207.672,0.139504
277.7,1.47263,206.503,0.122692
277.6,-0.311092,207.096,0.131238
277.5,0.118043,207.587,0.138285
277.4,0.429575,208.609,0.15292
277.3,0.365518,207.601,0.13848
277.2,1.53554,207.911,0.142932
277.1,0.820293,206.615,0.124308
277,0.710259,207.499,0.137017
276.9,0.595002,207.874,0.142396
276.8,2.19361,209.556,0.166432
276.7,-0.0163999,207.551,0.137765
276.6,1.03833,208.143,0.146259
276.5,1.25377,208.245,0.147719
276.4,0.138553,207.648,0.139163
276.3,0.14693,207.578,0.138155
276.2,2.69277,208.679,0.153924
276.1,1.68476,207.755,0.14069
276,-0.00085279,207.598,0.138448
275.9,-1.28248,208.214,0.147265
275.8,2.07973,208.506,0.151447
275.7,1.42834,208.258,0.147897
275.6,0.614052,207.767,0.140869
275.5,1.51216,208.218,0.14733
275.4,2.65347,206.559,0.123509
275.3,1.66905,208.934,0.157565
275.2,0.68857,206.943,0.129039
275.1,0.844689,206.905,0.128484
275,1.585,207.633,0.138952
274.9,-0.955807,208.207,0.147167
274.8,1.67417,207.219,0.132997
274.7,1.14106,206.906,0.1285
274.6,-0.242224,207.126,0.131662
274.5,0.23044,207.449,0.136301
274.4,0.623126,206.386,0.12101
274.3,-0.163327,208.148,0.146324
274.2,-1.03212,207.508,0.137147
274.1,-1.25747,207.414,0.135797
274,1.16969,207.526,0.137407
273.9,-0.191438,207.628,0.13887
273.8,0.575449,207.301,0.134186
273.7,0.98815,207.934,0.143257
273.6,1.87117,207.954,0.143549
273.5,-0.0901443,207.397,0.135553
