TITLE,ECTC_PROTEIN&BUFFER_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
304.4,428697.4702,207.197,0.132688
304.3,211783.7798,207.355,0.134951
304.2,661984.8214,208.135,0.146145
304.1,597501.0417,207.639,0.139033
304,680460.2679,206.78,0.126691
303.9,638571.875,207.314,0.134365
303.8,522466.6667,207.487,0.136854
303.7,469194.9405,206.068,0.116417
303.6,923909.2262,207.128,0.131695
303.5,848607.1429,206.77,0.126544
303.4,708030.5804,207.586,0.138269
303.3,797750,207.204,0.132786
303.2,493140.4762,207.509,0.137163
303.1,554277.6786,207.622,0.138789
303,752766.369,206.736,0.126054
302.9,124120.0893,207.671,0.139488
302.8,667631.8452,207.162,0.132183
302.7,665555.8036,207.405,0.135666
302.6,576416.2202,206.972,0.129446
302.5,378015.0595,207.502,0.137066
302.4,223080.2679,207.522,0.137358
302.3,508288.244,207.007,0.129951
302.2,727101.1905,207.441,0.136187
302.1,717529.4643,207.032,0.13031
302,715936.1607,206.885,0.128191
301.9,732578.869,207.477,0.136708
301.8,271702.619,207.849,0.142039
301.7,547411.4583,207.401,0.135618
301.6,292837.9464,206.715,0.125745
301.5,503513.9881,207.766,0.140853
301.4,676690.4762,206.67,0.125108
301.3,170185.8631,206.998,0.129821
301.2,725550.5952,207.27,0.13373
301.1,490626.7857,208.146,0.146291
301,649800.2976,207.04,0.130424
300.9,496489.4345,207.755,0.14069
300.8,90757.7381,207.409,0.135731
300.7,286086.6071,206.948,0.129104
300.6,210730.6548,207.825,0.141698
300.5,770578.869,207.469,0.136594
300.4,662578.125,207.099,0.131271
300.3,681849.7024,207.464,0.136512
300.2,438900.1488,206.234,0.118821
300.1,430274.4048,206.982,0.129593
300,575822.3214,207.026,0.130228
299.9,462044.6429,207.831,0.141779
299.8,696394.3452,205.912,0.114175
299.7,287528.0804,207.388,0.135422
299.6,729235.119,206.446,0.121876
299.5,747064.2857,206.939,0.128973
299.4,394126.6369,206.452,0.121957
299.3,994933.0357,207.553,0.137797
299.2,336162.2024,207.793,0.141243
299.1,967992.5595,207.653,0.139228
299,1026080.357,206.802,0.127
298.9,412948.0655,206.49,0.122513
298.8,614406.6964,206.185,0.118117
298.7,96638.69048,207.274,0.133795
298.6,447630.6548,207.201,0.132737
298.5,480810.119,206.236,0.118853
298.4,512899.5536,206.715,0.125745
298.3,540866.2202,206.695,0.125467
298.2,312162.6488,206.946,0.129071
298.1,483323.3542,206.636,0.124619
298,528881.8452,207.941,0.143354
297.9,134285.4167,207.139,0.131857
297.8,414351.0417,206.536,0.123166
297.7,628350.4464,207.11,0.131434
297.6,734520.8333,206.939,0.128973
297.5,839038.6905,207.467,0.136561
297.4,630455.3571,206.564,0.123574
297.3,270371.5774,206.59,0.12395
297.2,612407.4405,207.427,0.135992
297.1,18662.55952,207.115,0.131499
297,333826.3393,206.968,0.129397
296.9,770522.3214,206.885,0.128191
296.8,172865.6696,206.58,0.123803
296.7,320844.6429,206.768,0.126511
296.6,645737.9464,206.721,0.125842
296.5,386186.6071,206.592,0.123982
296.4,536502.9762,206.939,0.128973
296.3,389256.8452,207.177,0.132395
296.2,323209.0774,206.417,0.121451
296.1,707061.9048,206.819,0.127245
296,551248.9583,206.725,0.125891
295.9,836322.9167,206.504,0.122709
295.8,528971.7262,206.93,0.128843
295.7,1068409.226,207.746,0.140561
295.6,541960.5655,207.349,0.134869
295.5,718184.5238,206.84,0.127555
295.4,397009.8214,206.304,0.119834
295.3,910467.0833,206.979,0.129544
295.2,609150.2976,206.662,0.124994
295.1,524118.1548,206.683,0.125288
295,317192.4107,206.175,0.11797
294.9,320635.7143,206.759,0.126381
294.8,427763.244,206.384,0.120977
294.7,605335.4167,206.328,0.120177
294.6,331571.131,206.417,0.121451
294.5,129182.2917,206.852,0.127718
294.4,606241.5179,206.634,0.124586
294.3,276925.744,206.574,0.123721
294.2,752427.0833,206.285,0.119556
294.1,644345.2381,206.76,0.126397
294,534980.3571,206.63,0.124521
293.9,198250.744,207.416,0.135829
293.8,1004517.857,207.037,0.130391
293.7,558281.8452,206.819,0.127245
293.6,732078.869,206.953,0.129169
293.5,137231.8452,206.857,0.1278
293.4,348116.0714,207.569,0.138025
293.3,431591.369,206.686,0.125337
293.2,411576.1905,206.75,0.12625
293.1,85481.39881,206.784,0.12674
293,481670.9524,207.278,0.133844
292.9,293447.1726,207.126,0.131662
292.8,51190.625,206.898,0.128386
292.7,441770.9821,206.364,0.1207
292.6,194135.119,206.313,0.119965
292.5,1214132.292,206.577,0.12377
292.4,858769.3452,206.373,0.12083
292.3,520541.5179,206.983,0.129609
292.2,521566.2202,207.044,0.130489
292.1,693572.3214,205.873,0.113602
292,757061.0119,207.03,0.130277
291.9,333663.244,205.986,0.115239
291.8,872742.5595,206.032,0.11591
291.7,244743.006,205.799,0.112538
291.6,825900.8929,206.554,0.123427
291.5,704793.3333,206.768,0.126511
291.4,158807.8899,205.52,0.108508
291.3,338225.2976,206.483,0.122415
291.2,730543.75,205.463,0.107672
291.1,265921.131,206.483,0.122415
291,583025.5952,206.503,0.122692
290.9,555912.0536,206.373,0.12083
290.8,505740.4762,206.475,0.1223
290.7,679188.8393,206.717,0.125777
290.6,554077.5298,206.116,0.11712
290.5,392843.1548,206.771,0.12656
290.4,723274.256,207.01,0.13
290.3,338078.7202,206.431,0.121664
290.2,657456.994,206.71,0.125679
290.1,124773.0655,206.647,0.124766
290,760721.7262,206.309,0.119899
289.9,358434.0774,206.776,0.126625
289.8,601003.5714,207.548,0.137732
289.7,538035.7143,207.541,0.137618
289.6,317436.0119,207.709,0.14004
289.5,660466.0714,206.521,0.122953
289.4,353466.5283,207.088,0.131124
289.3,488032.8869,206.396,0.121157
289.2,120519.9405,207.383,0.135357
289.1,587595.2381,207.19,0.13259
289,233208.3333,206.936,0.128925
288.9,702748.5119,206.557,0.123476
288.8,465355.9524,207.016,0.130082
288.7,752136.6071,207.18,0.132444
288.6,424019.3452,206.661,0.124978
288.5,719755.9524,207.05,0.13057
288.4,589000.5952,207.535,0.137537
288.3,657269.9405,207.141,0.131874
288.2,300416.7857,206.839,0.127539
288.1,574630.0595,206.86,0.127832
288,429411.2485,207.258,0.133567
287.9,241263.8393,207.435,0.136106
287.8,280411.4583,206.806,0.127066
287.7,857945.2381,207.363,0.135064
287.6,251433.1696,207.783,0.141097
287.5,881011.9048,207.224,0.133079
287.4,832486.6071,206.716,0.125761
287.3,164885.4167,206.743,0.126152
287.2,419548.2976,206.958,0.129251
287.1,441803.5714,207.368,0.135146
287,809340.7738,207.246,0.133388
286.9,625517.2619,207.255,0.133518
286.8,852892.8571,207.552,0.137781
286.7,399776.9345,206.508,0.122774
286.6,497627.4851,207.521,0.137342
286.5,464726.1905,207.294,0.134072
286.4,976620.5357,206.699,0.125516
286.3,430215.4762,207.462,0.136496
286.2,579554.0179,207.176,0.132378
286.1,-6978.869048,206.976,0.129511
286,463312.4851,207.147,0.131971
285.9,618699.8512,206.965,0.129348
285.8,442863.244,207.657,0.139293
285.7,469542.1131,207.386,0.135406
285.6,1024544.643,207.011,0.130016
285.5,358120.9821,206.576,0.123753
285.4,507311.756,206.897,0.12837
285.3,413035.8631,207.088,0.131124
285.2,177837.2024,207.211,0.132883
285.1,528897.1726,207.221,0.13303
285,749867.7083,207.602,0.138496
284.9,203246.4583,206.605,0.124162
284.8,431784.5238,206.948,0.129104
284.7,249674.1071,207.102,0.13132
284.6,489171.875,207.342,0.134771
284.5,605416.6667,207.178,0.132411
284.4,1011693.601,207.403,0.13565
284.3,664247.4702,206.775,0.126609
284.2,370307.1429,207.909,0.142899
284.1,321043.6012,207.701,0.139927
284,344446.4286,207.095,0.131222
283.9,743212.9464,206.436,0.121729
283.8,58446.42857,207.064,0.130766
283.7,397662.0536,206.277,0.119441
283.6,50983.03571,206.829,0.127392
283.5,606832.2917,207.362,0.135048
283.4,247728.7202,206.86,0.127832
283.3,581642.5446,206.683,0.125288
283.2,276312.6488,207.533,0.137505
283.1,252489.5833,207.588,0.138301
283,45195.98214,207.564,0.13796
282.9,360543.1548,207.39,0.135455
282.8,895324.4048,207.262,0.133616
282.7,545947.9167,207.27,0.13373
282.6,219842.7381,207.469,0.136594
282.5,539541.369,207.632,0.138935
282.4,536148.8095,207.74,0.140479
282.3,188601.1905,207.82,0.141633
282.2,466673.0655,207.032,0.13031
282.1,294795.6845,206.911,0.128566
282,153277.6637,207.76,0.140772
281.9,349411.0119,207.331,0.134609
281.8,270504.1667,207.464,0.136512
281.7,418292.5595,207.248,0.133421
281.6,145274.4048,207.142,0.13189
281.5,511640.7738,206.913,0.128599
281.4,609292.2619,207.34,0.134739
281.3,575798.0655,207.987,0.14402
281.2,508264.5833,207.417,0.135846
281.1,642427.0833,207.851,0.142071
281,178089.4345,207.044,0.130489
280.9,763942.7083,207.93,0.143208
280.8,747757.4405,207.277,0.133828
280.7,418191.0714,207.025,0.130212
280.6,497841.6667,207.249,0.133437
280.5,375621.0268,206.874,0.128044
280.4,521361.0119,207.002,0.129886
280.3,657165.1786,208.048,0.144896
280.2,680645.0893,207.321,0.134462
280.1,461138.8393,207.32,0.134446
280,693623.0655,207.179,0.132427
279.9,514544.0476,207.612,0.138643
279.8,503936.0119,207.278,0.133844
279.7,254425.2976,207.594,0.138383
279.6,586813.8393,206.919,0.12868
279.5,405854.1667,207.656,0.139277
279.4,406804.1667,207.377,0.135276
279.3,409509.375,208.27,0.148075
279.2,465646.1949,207.439,0.136154
279.1,717230.0595,207.747,0.140577
279,311046.2798,207.019,0.13013
278.9,474829.0179,207.648,0.139163
278.8,686901.6369,207.098,0.131255
278.7,589239.2857,206.922,0.128729
278.6,554364.5833,207.069,0.130847
278.5,218623.1101,207.782,0.14108
278.4,499682.5893,206.779,0.126674
278.3,590807.5893,207.564,0.13796
278.2,328540.7738,208.127,0.146032
278.1,517346.3393,206.751,0.126266
278,412007.0982,208.006,0.144296
277.9,408399.2113,207.904,0.142835
277.8,49713.39286,207.994,0.144117
277.7,748350.5952,207.281,0.133893
277.6,880779.7619,207.852,0.142087
277.5,430932.1429,207.597,0.138431
277.4,517416.6667,207.504,0.137098
277.3,67284.40476,207.19,0.13259
277.2,311844.0476,207.89,0.142623
277.1,976678.5714,207.9,0.14277
277,880293.1548,208.019,0.144474
276.9,324980.2083,208.344,0.149129
276.8,177820.9524,207.393,0.135504
276.7,173460.4167,207.756,0.140707
276.6,327918.3036,207.096,0.131238
276.5,353275.4464,207.197,0.132688
276.4,341056.5476,207.794,0.141259
276.3,971705.3571,207.479,0.13674
276.2,528891.369,207.052,0.130603
276.1,452896.2798,207.509,0.137163
276,345070.2381,206.836,0.12749
275.9,684360.8631,207.379,0.135292
275.8,469173.9583,207.769,0.140902
275.7,492954.4643,208.44,0.150507
275.6,326475.2976,207.164,0.132216
275.5,258931.2946,208.056,0.14501
275.4,595494.3452,207.544,0.137667
275.3,336987.7976,207.594,0.138383
275.2,319072.619,208.233,0.14754
275.1,609683.1845,207.713,0.140089
275,578690.0298,208.161,0.146519
274.9,607660.7143,207.295,0.134088
274.8,482274.5536,207.266,0.133681
274.7,210420.6845,207.457,0.136415
274.6,-7089.732143,207.426,0.135976
274.5,503140.3274,207.203,0.132769
274.4,345637.9464,207.403,0.13565
274.3,253726.756,207.21,0.132867
274.2,658828.244,207.218,0.132981
274.1,734641.369,207.607,0.138578
274,-113872.4851,206.958,0.129251
273.9,800002.5298,207.036,0.130375
273.8,278030.9524,205.889,0.113832
273.7,411286.4286,207.04,0.130424
273.6,243357.8869,207.096,0.131238
273.5,360778.869,208.265,0.147994
273.4,262579.0179,206.445,0.121859
273.3,458715.3274,207.172,0.132329
273.2,48410.8631,207.783,0.141097
273.1,-11098.5119,206.767,0.126495
273,391706.5476,207.861,0.142217
272.9,893940.1786,207.133,0.131759
272.8,484946.131,208.521,0.151657
272.7,279838.6905,207.836,0.14186
272.6,641555.2083,207.773,0.14095
272.5,317509.9702,207.04,0.130424
272.4,291316.2202,207.386,0.135406
272.3,392574.8512,207.178,0.132411
272.2,571507.4405,207.645,0.139114
272.1,834925.5952,207.658,0.139309
272,551116.6667,207.657,0.139293
271.9,497530.6548,207.866,0.142282
271.8,-161864.7321,207.249,0.133437
271.7,329443.75,208.069,0.145188
271.6,176797.686,207.68,0.139618
271.5,710775.2976,208.018,0.144458
271.4,-142905.2083,207.794,0.141259
271.3,418766.6667,208.005,0.144279
271.2,514299.8512,207.524,0.137374
271.1,19581.36905,207.186,0.132525
271,576844.3452,207.89,0.142623
270.9,428617.1131,207.844,0.141974
270.8,184295.2381,208.127,0.146032
270.7,239373.6607,207.452,0.13635
270.6,-68068.00595,208.08,0.145351
270.5,318794.0476,207.589,0.138318
270.4,157950.744,208.258,0.147897
270.3,822573.5119,207.68,0.139618
270.2,636648.8095,207.59,0.138334
270.1,291132.2917,207.546,0.1377
270,692052.381,207.875,0.142412
269.9,382087.8869,208.576,0.152451
269.8,375237.9464,208.064,0.145123
269.7,823102.6786,208.352,0.149243
269.6,-4380.505952,207.317,0.134413
269.5,24406.84524,208.668,0.153762
269.4,179726.4881,208.09,0.145496
269.3,464085.6399,208.378,0.149615
269.2,293668.1548,208.958,0.157904
269.1,36080.65476,207.614,0.138675
269,707141.369,208.036,0.144718
268.9,356848.2143,208.429,0.150345
268.8,227620.0893,208.995,0.158438
268.7,426572.4702,208.428,0.150329
268.6,345510.119,208.061,0.145075
268.5,180633.869,207.503,0.137082
268.4,147782.7827,208.303,0.148546
268.3,272084.375,207.717,0.140154
268.2,99844.19643,208.612,0.152969
268.1,441926.1905,208.282,0.148238
268,459402.2321,208.194,0.146989
267.9,152119.494,208.254,0.147848
267.8,-107565.7738,208.053,0.144961
267.7,555240.7738,208.99,0.158357
267.6,561208.0357,208.319,0.148773
267.5,282508.3333,208.352,0.149243
267.4,476651.7857,208.824,0.155996
267.3,395366.6667,208.931,0.157516
267.2,533467.2619,207.928,0.143175
267.1,141510.119,208.019,0.144474
267,522024.256,208.568,0.152337
266.9,321454.7619,209.097,0.159893
266.8,409139.2857,208.398,0.149907
266.7,611723.2143,208.437,0.150458
266.6,644956.8452,208.803,0.155688
266.5,212602.8274,207.861,0.142217
266.4,317796.2798,208.986,0.158309
266.3,275836.0119,207.927,0.143159
266.2,211775.4464,208.129,0.146048
266.1,391082.8869,208.28,0.148221
266,139642.7083,208.716,0.154442
265.9,612633.9286,208.205,0.147135
265.8,649565.4762,208.546,0.152013
265.7,451476.3393,209.087,0.159747
265.6,524589.7321,208.355,0.149291
265.5,342023.8095,208.829,0.15606
265.4,138491.6667,209.088,0.159763
265.3,623844.3452,208.561,0.15224
265.2,441343.3036,208.478,0.151042
265.1,165023.5119,209.025,0.158858
265,593057.9464,208.972,0.158098
264.9,51534.375,209.009,0.158632
264.8,450480.0595,208.499,0.151349
264.7,268606.25,209.364,0.163689
264.6,452345.5357,208.277,0.148173
264.5,124123.9732,207.739,0.140463
264.4,216809.9256,209.172,0.160959
264.3,164893.6012,209.079,0.159634
264.2,64050.74405,208.235,0.147573
264.1,321935.5655,209.135,0.160426
264,280055.9524,209.159,0.160765
263.9,458079.1667,209.206,0.161444
263.8,117516.0714,209.16,0.160781
263.7,587862.9464,209.035,0.159004
263.6,80843.60119,209.092,0.159812
263.5,279904.7619,208.999,0.158486
263.4,549157.7381,209.045,0.159149
263.3,471226.1905,210.072,0.173765
263.2,226546.2798,210.249,0.176276
263.1,-12581.84524,209.275,0.162429
263,538285.4167,208.782,0.155397
262.9,342750.1488,208.823,0.155979
262.8,605214.2857,209.79,0.169754
262.7,487558.631,210.402,0.178447
262.6,154129.1667,209.25,0.162074
262.5,578107.2917,209.557,0.166448
262.4,288536.0119,210.235,0.176083
262.3,442592.7083,209.623,0.167384
262.2,368723.2143,209.528,0.166029
262.1,48270.53571,209.403,0.164254
262,452099.7024,209.705,0.168545
261.9,252399.8512,209.62,0.167335
261.8,400343.3036,209.634,0.167545
261.7,155826.9345,210.23,0.176018
261.6,440747.619,208.814,0.15585
261.5,289156.8452,209.802,0.169931
261.4,158117.7083,210.123,0.174489
261.3,214485.7738,210.04,0.173314
261.2,220450,209.841,0.170479
261.1,391789.4345,210.025,0.173105
261,396458.4821,209.529,0.166045
260.9,812559.5238,209.781,0.169625
260.8,582858.2738,209.519,0.1659
260.7,369272.0238,209.968,0.172284
260.6,316860.2679,209.897,0.171285
260.5,247821.7262,210.732,0.183139
260.4,262237.2024,210.246,0.176244
260.3,144642.8571,210.09,0.174022
260.2,179404.7619,209.888,0.171156
260.1,334742.2619,210.135,0.174666
260,127500.4464,210.345,0.177643
259.9,174646.4286,210.524,0.180183
259.8,201817.7083,209.663,0.167948
259.7,343740.9226,209.759,0.169319
259.6,640977.5298,210.269,0.176565
259.5,727816.9643,210.031,0.173185
259.4,120119.6429,210.724,0.183027
259.3,492413.3929,210.209,0.175712
259.2,431772.7679,210.787,0.18391
259.1,393101.3393,210.722,0.182995
259,460324.5982,210.376,0.178077
258.9,116440.3274,210.254,0.176356
258.8,435577.8274,210.508,0.179958
258.7,197256.994,211.175,0.189412
258.6,583558.7798,210.628,0.181661
258.5,728740.0298,210.326,0.17737
258.4,539470.7589,210.594,0.181179
258.3,629445.6845,210.924,0.185852
258.2,857930.0595,210.432,0.178881
258.1,775013.3929,210.768,0.183637
258,61092.85714,211.507,0.194107
257.9,636345.2381,210.211,0.175745
257.8,1147616.071,210.769,0.183653
257.7,504088.1845,210.855,0.184873
257.6,300616.5179,210.967,0.186462
257.5,401286.994,210.91,0.185659
257.4,88952.08333,210.508,0.179958
257.3,590755.9524,210.477,0.179524
257.2,268459.4196,210.639,0.181822
257.1,143574.0923,211.254,0.190518
257,267136.756,211.497,0.193962
256.9,33294.64286,211.358,0.191992
256.8,566331.6964,211.038,0.187472
256.7,8746.488095,210.999,0.186911
256.6,249756.8452,211.446,0.193242
256.5,428669.1964,210.971,0.186526
256.4,228320.0893,211.779,0.197947
256.3,384083.3333,211.318,0.191432
256.2,607145.3869,211.143,0.188948
256.1,-89128.09524,211.424,0.192922
256,303955.8036,211.197,0.189717
255.9,419135.5655,211.379,0.192297
255.8,58443.45238,211.156,0.18914
255.7,355811.0119,210.836,0.1846
255.6,-4323.571429,210.923,0.185836
255.5,182557.5893,211.53,0.194427
255.4,763453.869,211.123,0.188675
255.3,337755.506,211.707,0.196923
255.2,76371.875,211.567,0.194955
255.1,375290.0298,211.211,0.189909
255,331611.0119,211.086,0.188146
254.9,177920.881,212.477,0.207785
254.8,420490.7738,211.65,0.196123
254.7,81269.64286,211.347,0.191832
254.6,552968.1548,211.482,0.193754
254.5,820803.125,212.125,0.202821
254.4,347977.6786,212.398,0.206668
254.3,104619.7917,213.047,0.215799
254.2,159706.3988,212.566,0.209029
254.1,479901.7857,212.132,0.202917
254,-50366.81548,211.43,0.193018
253.9,940238.0952,212.8,0.212328
253.8,769785.7143,211.99,0.20092
253.7,848270.8333,212.352,0.206014
253.6,117005.6548,211.978,0.200745
253.5,839648.8095,212.696,0.210862
253.4,662898.8095,211.692,0.196715
253.3,748902.381,212.576,0.209172
253.2,601196.7262,211.871,0.199242
253.1,514490.9226,212.977,0.214812
253,449355.0595,212.812,0.212487
252.9,739931.994,211.752,0.197563
252.8,235395.8036,212.131,0.202901
252.7,280167.0982,212.318,0.205536
252.6,754543.75,212.696,0.210862
252.5,353585.4315,212.458,0.207514
252.4,407156.5476,212.516,0.208327
252.3,281711.6071,213.295,0.219282
252.2,-279224.8512,212.659,0.210336
252.1,936151.7857,212.384,0.206477
252,558062.0536,211.605,0.195483
251.9,42948.06548,212.254,0.204642
251.8,615982.5893,213.071,0.216133
251.7,345175.5952,213.085,0.216324
251.6,-48769.34524,212.384,0.206477
251.5,661533.4821,212.935,0.214223
251.4,372144.494,212.816,0.212551
251.3,278607.1429,211.943,0.200249
251.2,200516.9643,212.413,0.206876
251.1,233501.2202,213.103,0.216579
251,280983.4821,212.824,0.212662
250.9,249614.4345,212.834,0.212806
250.8,100455.506,213.323,0.219664
250.7,653236.4583,213.176,0.217613
250.6,518203.5714,213.399,0.220729
250.5,365967.1131,213.68,0.224668
250.4,578107.8869,213.32,0.219632
250.3,308207.5893,212.25,0.204578
250.2,-296938.9881,213.223,0.218265
250.1,401880.0595,212.997,0.215099
250,605098.2143,212.707,0.211021
