TITLE,class,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,21/09/29,,
TIME,17:29:59,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,290,,
LASTX,190,,
NPOINTS,1001,,
FIRSTY,1.75653,,
MAXY,5.17258,,
MINY,-0.89957,,
XYDATA,,,
273.6,1.1827,251.761,0.72279
273.5,0.80599,251.645,0.721372
273.4,1.35765,251.577,0.720542
273.3,1.43825,251.85,0.72388
273.2,2.15397,251.712,0.722192
273.1,1.26117,251.41,0.718498
273,1.36404,251.617,0.721034
272.9,1.50524,251.705,0.722112
272.8,2.19825,251.574,0.720505
272.7,0.851969,251.712,0.722194
272.6,1.57564,251.869,0.724121
272.5,1.39667,251.494,0.719522
272.4,0.789311,251.545,0.720151
272.3,1.01093,251.618,0.721041
272.2,0.933741,251.747,0.722618
272.1,1.07858,251.433,0.718783
272,0.720625,251.661,0.721566
271.9,1.57269,251.498,0.719572
271.8,1.45071,251.491,0.719485
271.7,1.01755,251.494,0.71952
271.6,1.73506,251.551,0.720221
271.5,1.0956,251.771,0.722913
271.4,1.03491,251.429,0.718731
271.3,1.07788,251.347,0.717723
271.2,1.11839,251.652,0.721464
271.1,1.22595,251.854,0.723928
271,1.41678,251.471,0.719248
270.9,1.61097,251.55,0.720212
270.8,2.06136,251.502,0.719626
270.7,0.778042,251.733,0.722452
270.6,1.63947,251.398,0.718345
270.5,0.381442,251.733,0.722455
270.4,1.33184,251.484,0.719409
270.3,0.873552,251.855,0.723941
270.2,0.672333,251.593,0.720737
270.1,0.491885,251.485,0.719411
270,1.7339,251.642,0.721342
269.9,1.08361,251.798,0.723244
269.8,0.841929,251.413,0.718528
269.7,2.5161,251.817,0.72348
269.6,0.451603,251.52,0.719846
269.5,0.912635,252.032,0.726111
269.4,0.493957,252.044,0.726253
269.3,0.391549,251.679,0.721793
269.2,1.97106,251.318,0.717374
269.1,0.714314,252.065,0.726518
269,0.485228,251.752,0.722679
268.9,1.46775,251.71,0.722168
268.8,1.01328,251.657,0.721521
268.7,0.958134,251.664,0.72161
268.6,1.78272,251.625,0.721131
268.5,1.08016,251.787,0.723114
268.4,0.625994,251.495,0.719534
268.3,0.698897,251.836,0.723715
268.2,0.729699,251.74,0.722537
268.1,0.799641,251.565,0.720399
268,0.392888,251.813,0.723428
267.9,1.30856,251.92,0.724744
267.8,0.918321,251.912,0.724639
267.7,2.10563,251.942,0.725008
267.6,0.897037,252.139,0.727421
267.5,1.53045,251.845,0.723828
267.4,1.50936,251.925,0.724795
267.3,0.731081,251.854,0.723935
267.2,1.47785,251.924,0.724782
267.1,1.89798,251.769,0.722889
267,1.09396,251.756,0.722736
266.9,1.05745,251.657,0.721516
266.8,1.28257,251.584,0.720623
266.7,0.489534,251.562,0.720356
266.6,1.52385,251.628,0.721169
266.5,0.562992,252.103,0.726982
266.4,1.02433,252.356,0.73007
266.3,1.28062,252.456,0.731286
266.2,0.470321,252.297,0.729353
266.1,0.86676,251.932,0.724886
266,0.560133,252.254,0.728816
265.9,1.71989,252.009,0.725829
265.8,-0.368281,251.964,0.725276
265.7,1.67856,252.034,0.726139
265.6,1.27133,251.842,0.72379
265.5,1.7103,252.075,0.726629
265.4,1.32316,252.083,0.726738
265.3,1.54251,252.239,0.728643
265.2,1.49452,252.055,0.726384
265.1,0.870231,252.137,0.727392
265,0.486789,251.656,0.721506
264.9,1.12111,251.952,0.725136
264.8,0.608097,252.348,0.729972
264.7,0.00955129,252.128,0.727288
264.6,1.49945,252.363,0.730154
264.5,1.67619,251.998,0.725699
264.4,0.41808,252.32,0.729624
264.3,1.0099,252.188,0.728015
264.2,1.62355,252.196,0.728117
264.1,0.315557,252.211,0.728301
