TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
304.6,5849.251109,258.381,0.802935
304.5,8278.148092,258.816,0.808142
304.4,6939.566733,258.855,0.808603
304.3,8545.246922,258.359,0.802663
304.2,6066.183389,258.271,0.801618
304.1,5024.987154,258.678,0.806488
304,9918.610816,258.411,0.803288
303.9,19565.47503,258.095,0.7995
303.8,17150.53267,258.753,0.807383
303.7,204.9792467,259.207,0.812814
303.6,9538.352386,258.586,0.80539
303.5,-2914.253443,258.881,0.808914
303.4,3067.39475,258.612,0.805702
303.3,4010.653013,258.557,0.805037
303.2,11182.81649,259.041,0.810824
303.1,-5906.560078,258.198,0.800736
303,8018.279885,258.552,0.804983
302.9,5778.521271,258.711,0.806882
302.8,15655.69114,258.969,0.809971
302.7,15018.87154,258.104,0.799609
302.6,1784.018987,258.713,0.806909
302.5,11471.48506,258.9,0.809144
302.4,-1727.555891,258.086,0.799391
302.3,12592.27696,258.564,0.805119
302.2,10583.28539,258.18,0.800519
302.1,7765.061048,257.341,0.790457
302,15505.58049,258.344,0.802487
301.9,-2431.296229,259.058,0.811027
301.8,9650.064503,258.456,0.80383
301.7,20437.92203,258.121,0.799812
301.6,19368.91153,258.569,0.805187
301.5,6662.193043,258.667,0.806353
301.4,16234.27673,258.25,0.80136
301.3,5370.813159,258.842,0.808454
301.2,12911.88319,258.44,0.80364
301.1,12043.33534,257.914,0.79734
301,17450.74943,257.99,0.79825
300.9,4121.923649,257.554,0.793016
300.8,7105.672048,257.942,0.797666
300.7,-725.7673463,258.077,0.799283
300.6,2519.441489,258.568,0.805173
300.5,18620.27397,259.988,0.822127
300.4,1588.52553,258.793,0.807857
300.3,9987.23502,257.663,0.794322
300.2,20590.08855,257.337,0.790402
300.1,8812.440744,257.517,0.792567
300,5990.10895,258.33,0.802324
299.9,16600.33129,260.113,0.823612
299.8,4580.14141,259.036,0.81077
299.7,14023.51977,258.356,0.802636
299.6,4462.615618,257.633,0.793968
299.5,17447.88161,258.398,0.803138
299.4,12630.24848,257.064,0.78712
299.3,2312.232442,257.793,0.795886
299.2,14971.69495,258.509,0.804468
299.1,7374.023854,258.637,0.806
299,21744.95281,257.692,0.794675
298.9,-6724.848648,258.406,0.803233
298.8,6722.819912,258.442,0.803667
298.7,4038.677617,258.27,0.801605
298.6,17109.93533,258.197,0.800722
298.5,2765.610638,258.147,0.800125
298.4,10189.25598,259.011,0.810472
298.3,12009.9641,257.928,0.797503
298.2,4009.904394,257.853,0.796606
298.1,21143.77293,258.186,0.8006
298,14102.92771,257.665,0.794349
297.9,9115.64972,258.328,0.802297
297.8,17878.70646,258.054,0.799011
297.7,11645.4882,258.458,0.803857
297.6,12450.87609,257.46,0.791886
297.5,25650.37164,258.096,0.799514
297.4,13910.28599,258.31,0.80208
297.3,10034.76896,257.801,0.795981
297.2,12221.61307,257.854,0.796619
297.1,7296.517992,258.367,0.802758
297,3083.529648,258.415,0.803342
296.9,5581.428538,258.285,0.801781
296.8,7510.27712,258.103,0.799595
296.7,12604.44485,258.654,0.806204
296.6,-1488.644506,257.755,0.795423
296.5,16795.01759,258.325,0.802256
296.4,18778.72347,258.001,0.798372
296.3,5903.911638,258.517,0.804563
296.2,25520.34707,258.251,0.801374
296.1,-7068.270476,258.067,0.799174
296,7176.200596,258.208,0.800858
295.9,14492.45862,257.818,0.796184
295.8,7427.947073,258.38,0.802921
295.7,23211.72677,258.49,0.804237
295.6,13248.04273,257.988,0.798223
295.5,10134.60449,257.972,0.798033
295.4,-643.7109632,257.845,0.796511
295.3,11116.81585,257.797,0.795926
295.2,18917.99835,258.156,0.800233
295.1,6495.31423,258.206,0.800831
295,7348.489372,258.331,0.802338
294.9,4896.505055,258.368,0.802772
